"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC12233_2","NCTC13142_2","NCTC13277_2","NCTC13395_2","NCTC13616_2","NCTC1803_2","NCTC4137_2","NCTC6136_2","NCTC7988_2","NCTC9555_2"
"WP_001030080.1","","glycine--tRNA ligase","10","10","1","1","338","","","","1391","1391","1391","5ed739b8eba34d81c44a46f3a235e95d_3245","a6596c4a203e63fb6b02f6e492b61789_3220","635a081118a8dafa9e232517c2cf67f9_3331","ff262237f3470f60d8b7b16b3d58ad2c_3067","14c52b1fad0ff98e5cf49028371d6243_3188","4a58a390596d4900f56ec453eae7d1e7_2559","cc2e0eb80d2c122d721349f05f3eeaf8_3045","46fc0cff5994e5bf181db51ddfa21095_3355","0f07ae81df8f8d06fbc4da89d7ffc57a_3245","8517706599505fe9f8a7a5c896166270_2631"
"WP_000181832.1","","MurR/RpiR family transcriptional regulator","10","10","1","1","1280","","","","875","875","875","5ed739b8eba34d81c44a46f3a235e95d_343","a6596c4a203e63fb6b02f6e492b61789_335","635a081118a8dafa9e232517c2cf67f9_386","ff262237f3470f60d8b7b16b3d58ad2c_349","14c52b1fad0ff98e5cf49028371d6243_335","4a58a390596d4900f56ec453eae7d1e7_5381","cc2e0eb80d2c122d721349f05f3eeaf8_295","46fc0cff5994e5bf181db51ddfa21095_287","0f07ae81df8f8d06fbc4da89d7ffc57a_281","8517706599505fe9f8a7a5c896166270_281"
"WP_000828570.1","","TetR/AcrR family transcriptional regulator","10","10","1","1","3458","","","","551","554","552","5ed739b8eba34d81c44a46f3a235e95d_5038","a6596c4a203e63fb6b02f6e492b61789_5000","635a081118a8dafa9e232517c2cf67f9_5107","ff262237f3470f60d8b7b16b3d58ad2c_5059","14c52b1fad0ff98e5cf49028371d6243_4962","4a58a390596d4900f56ec453eae7d1e7_4358","cc2e0eb80d2c122d721349f05f3eeaf8_4788","46fc0cff5994e5bf181db51ddfa21095_5090","0f07ae81df8f8d06fbc4da89d7ffc57a_5054","8517706599505fe9f8a7a5c896166270_5045"
"WP_000342205.1","","cell division protein FtsQ/DivIB","10","10","1","1","4129","","","","1319","1319","1319","5ed739b8eba34d81c44a46f3a235e95d_2404","a6596c4a203e63fb6b02f6e492b61789_2230","635a081118a8dafa9e232517c2cf67f9_2351","ff262237f3470f60d8b7b16b3d58ad2c_2238","14c52b1fad0ff98e5cf49028371d6243_2194","4a58a390596d4900f56ec453eae7d1e7_1777","cc2e0eb80d2c122d721349f05f3eeaf8_2218","46fc0cff5994e5bf181db51ddfa21095_2484","0f07ae81df8f8d06fbc4da89d7ffc57a_2464","8517706599505fe9f8a7a5c896166270_3422"
"WP_000258151.1","","undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase","10","10","1","1","2723","","","","1055","1055","1055","5ed739b8eba34d81c44a46f3a235e95d_1649","a6596c4a203e63fb6b02f6e492b61789_1497","635a081118a8dafa9e232517c2cf67f9_1625","ff262237f3470f60d8b7b16b3d58ad2c_1515","14c52b1fad0ff98e5cf49028371d6243_1463","4a58a390596d4900f56ec453eae7d1e7_1072","cc2e0eb80d2c122d721349f05f3eeaf8_1497","46fc0cff5994e5bf181db51ddfa21095_1639","0f07ae81df8f8d06fbc4da89d7ffc57a_1623","8517706599505fe9f8a7a5c896166270_1621"
"ureG","","urease accessory protein UreG","10","10","1","1","3524","","","","614","614","614","5ed739b8eba34d81c44a46f3a235e95d_4911","a6596c4a203e63fb6b02f6e492b61789_4877","635a081118a8dafa9e232517c2cf67f9_4982","ff262237f3470f60d8b7b16b3d58ad2c_4932","14c52b1fad0ff98e5cf49028371d6243_4839","4a58a390596d4900f56ec453eae7d1e7_4233","cc2e0eb80d2c122d721349f05f3eeaf8_4663","46fc0cff5994e5bf181db51ddfa21095_4963","0f07ae81df8f8d06fbc4da89d7ffc57a_4929","8517706599505fe9f8a7a5c896166270_4920"
"WP_000289136.1","","GTP pyrophosphokinase family protein","10","10","1","1","3264","","","","692","692","692","5ed739b8eba34d81c44a46f3a235e95d_5366","a6596c4a203e63fb6b02f6e492b61789_5334","635a081118a8dafa9e232517c2cf67f9_5417","ff262237f3470f60d8b7b16b3d58ad2c_5387","14c52b1fad0ff98e5cf49028371d6243_5296","4a58a390596d4900f56ec453eae7d1e7_4677","cc2e0eb80d2c122d721349f05f3eeaf8_5096","46fc0cff5994e5bf181db51ddfa21095_5410","0f07ae81df8f8d06fbc4da89d7ffc57a_5365","8517706599505fe9f8a7a5c896166270_5354"
"noc","","nucleoid occlusion protein","10","10","1","1","3019","","","","839","839","839","5ed739b8eba34d81c44a46f3a235e95d_5808","a6596c4a203e63fb6b02f6e492b61789_5762","635a081118a8dafa9e232517c2cf67f9_5841","ff262237f3470f60d8b7b16b3d58ad2c_5831","14c52b1fad0ff98e5cf49028371d6243_5724","4a58a390596d4900f56ec453eae7d1e7_5093","cc2e0eb80d2c122d721349f05f3eeaf8_5530","46fc0cff5994e5bf181db51ddfa21095_5836","0f07ae81df8f8d06fbc4da89d7ffc57a_5783","8517706599505fe9f8a7a5c896166270_5774"
"gmk","","guanylate kinase","10","10","1","1","4154","","","","623","623","623","5ed739b8eba34d81c44a46f3a235e95d_2454","a6596c4a203e63fb6b02f6e492b61789_2280","635a081118a8dafa9e232517c2cf67f9_2401","ff262237f3470f60d8b7b16b3d58ad2c_2288","14c52b1fad0ff98e5cf49028371d6243_2244","4a58a390596d4900f56ec453eae7d1e7_1827","cc2e0eb80d2c122d721349f05f3eeaf8_2268","46fc0cff5994e5bf181db51ddfa21095_2534","0f07ae81df8f8d06fbc4da89d7ffc57a_2514","8517706599505fe9f8a7a5c896166270_3372"
"WP_000872158.1","","DUF177 domain-containing protein","10","10","1","1","1676","","","","557","557","557","5ed739b8eba34d81c44a46f3a235e95d_2281","a6596c4a203e63fb6b02f6e492b61789_2101","635a081118a8dafa9e232517c2cf67f9_2228","ff262237f3470f60d8b7b16b3d58ad2c_2115","14c52b1fad0ff98e5cf49028371d6243_2065","4a58a390596d4900f56ec453eae7d1e7_1654","cc2e0eb80d2c122d721349f05f3eeaf8_2095","46fc0cff5994e5bf181db51ddfa21095_2361","0f07ae81df8f8d06fbc4da89d7ffc57a_2209","8517706599505fe9f8a7a5c896166270_2207"
"rimI","","ribosomal protein S18-alanine N-acetyltransferase","10","10","1","1","3794","","","","464","464","464","5ed739b8eba34d81c44a46f3a235e95d_4368","a6596c4a203e63fb6b02f6e492b61789_4344","635a081118a8dafa9e232517c2cf67f9_4444","ff262237f3470f60d8b7b16b3d58ad2c_4391","14c52b1fad0ff98e5cf49028371d6243_4306","4a58a390596d4900f56ec453eae7d1e7_3697","cc2e0eb80d2c122d721349f05f3eeaf8_4136","46fc0cff5994e5bf181db51ddfa21095_4434","0f07ae81df8f8d06fbc4da89d7ffc57a_4404","8517706599505fe9f8a7a5c896166270_4395"
"frr","","ribosome recycling factor","10","10","1","1","82","","","","554","554","554","5ed739b8eba34d81c44a46f3a235e95d_2558","a6596c4a203e63fb6b02f6e492b61789_2386","635a081118a8dafa9e232517c2cf67f9_2505","ff262237f3470f60d8b7b16b3d58ad2c_2392","14c52b1fad0ff98e5cf49028371d6243_2348","4a58a390596d4900f56ec453eae7d1e7_1931","cc2e0eb80d2c122d721349f05f3eeaf8_2368","46fc0cff5994e5bf181db51ddfa21095_2634","0f07ae81df8f8d06fbc4da89d7ffc57a_2618","8517706599505fe9f8a7a5c896166270_3268"
"queD","","6-carboxytetrahydropterin synthase QueD","10","10","1","1","2682","","","","419","419","419","5ed739b8eba34d81c44a46f3a235e95d_1573","a6596c4a203e63fb6b02f6e492b61789_1423","635a081118a8dafa9e232517c2cf67f9_1551","ff262237f3470f60d8b7b16b3d58ad2c_1439","14c52b1fad0ff98e5cf49028371d6243_1389","4a58a390596d4900f56ec453eae7d1e7_998","cc2e0eb80d2c122d721349f05f3eeaf8_1421","46fc0cff5994e5bf181db51ddfa21095_1563","0f07ae81df8f8d06fbc4da89d7ffc57a_1549","8517706599505fe9f8a7a5c896166270_1547"
"WP_001231451.1","","diacylglycerol kinase","10","10","1","1","1511","","","","947","947","947","5ed739b8eba34d81c44a46f3a235e95d_4074","a6596c4a203e63fb6b02f6e492b61789_4022","635a081118a8dafa9e232517c2cf67f9_4154","ff262237f3470f60d8b7b16b3d58ad2c_4073","14c52b1fad0ff98e5cf49028371d6243_3985","4a58a390596d4900f56ec453eae7d1e7_3505","cc2e0eb80d2c122d721349f05f3eeaf8_3844","46fc0cff5994e5bf181db51ddfa21095_4130","0f07ae81df8f8d06fbc4da89d7ffc57a_4188","8517706599505fe9f8a7a5c896166270_4205"
"WP_000998559.1","","hypothetical protein","10","10","1","1","4151","","","","212","212","212","5ed739b8eba34d81c44a46f3a235e95d_2448","a6596c4a203e63fb6b02f6e492b61789_2274","635a081118a8dafa9e232517c2cf67f9_2395","ff262237f3470f60d8b7b16b3d58ad2c_2282","14c52b1fad0ff98e5cf49028371d6243_2238","4a58a390596d4900f56ec453eae7d1e7_1821","cc2e0eb80d2c122d721349f05f3eeaf8_2262","46fc0cff5994e5bf181db51ddfa21095_2528","0f07ae81df8f8d06fbc4da89d7ffc57a_2508","8517706599505fe9f8a7a5c896166270_3378"
"WP_001013482.1","","cation transporter","10","10","1","1","1252","","","","959","959","959","5ed739b8eba34d81c44a46f3a235e95d_293","a6596c4a203e63fb6b02f6e492b61789_285","635a081118a8dafa9e232517c2cf67f9_336","ff262237f3470f60d8b7b16b3d58ad2c_299","14c52b1fad0ff98e5cf49028371d6243_285","4a58a390596d4900f56ec453eae7d1e7_5335","cc2e0eb80d2c122d721349f05f3eeaf8_245","46fc0cff5994e5bf181db51ddfa21095_237","0f07ae81df8f8d06fbc4da89d7ffc57a_235","8517706599505fe9f8a7a5c896166270_235"
"WP_000846637.1","","L-lactate dehydrogenase","10","10","1","1","3152","","","","959","959","959","5ed739b8eba34d81c44a46f3a235e95d_5568","a6596c4a203e63fb6b02f6e492b61789_5542","635a081118a8dafa9e232517c2cf67f9_5607","ff262237f3470f60d8b7b16b3d58ad2c_5589","14c52b1fad0ff98e5cf49028371d6243_5504","4a58a390596d4900f56ec453eae7d1e7_4871","cc2e0eb80d2c122d721349f05f3eeaf8_5294","46fc0cff5994e5bf181db51ddfa21095_5608","0f07ae81df8f8d06fbc4da89d7ffc57a_5561","8517706599505fe9f8a7a5c896166270_5550"
"WP_001143497.1","","iron-sulfur cluster assembly accessory protein","10","10","1","1","1877","","","","359","359","359","5ed739b8eba34d81c44a46f3a235e95d_1892","a6596c4a203e63fb6b02f6e492b61789_1710","635a081118a8dafa9e232517c2cf67f9_1830","ff262237f3470f60d8b7b16b3d58ad2c_1728","14c52b1fad0ff98e5cf49028371d6243_1676","4a58a390596d4900f56ec453eae7d1e7_1277","cc2e0eb80d2c122d721349f05f3eeaf8_1706","46fc0cff5994e5bf181db51ddfa21095_1978","0f07ae81df8f8d06fbc4da89d7ffc57a_1830","8517706599505fe9f8a7a5c896166270_1828"
"WP_000052590.1","","ribonuclease J","10","10","1","1","98","","","","1673","1673","1673","5ed739b8eba34d81c44a46f3a235e95d_2590","a6596c4a203e63fb6b02f6e492b61789_2418","635a081118a8dafa9e232517c2cf67f9_2537","ff262237f3470f60d8b7b16b3d58ad2c_2424","14c52b1fad0ff98e5cf49028371d6243_2380","4a58a390596d4900f56ec453eae7d1e7_1963","cc2e0eb80d2c122d721349f05f3eeaf8_2400","46fc0cff5994e5bf181db51ddfa21095_2666","0f07ae81df8f8d06fbc4da89d7ffc57a_2650","8517706599505fe9f8a7a5c896166270_3236"
"WP_000531476.1","","PTS sugar transporter subunit IIA","10","10","1","1","1339","","","","467","467","467","5ed739b8eba34d81c44a46f3a235e95d_439","a6596c4a203e63fb6b02f6e492b61789_433","635a081118a8dafa9e232517c2cf67f9_480","ff262237f3470f60d8b7b16b3d58ad2c_445","14c52b1fad0ff98e5cf49028371d6243_433","4a58a390596d4900f56ec453eae7d1e7_5477","cc2e0eb80d2c122d721349f05f3eeaf8_405","46fc0cff5994e5bf181db51ddfa21095_397","0f07ae81df8f8d06fbc4da89d7ffc57a_377","8517706599505fe9f8a7a5c896166270_377"
"WP_000787672.1","","phosphate/phosphite/phosphonate ABC transporter substrate-binding protein","10","10","1","1","1219","","","","956","956","956","5ed739b8eba34d81c44a46f3a235e95d_239","a6596c4a203e63fb6b02f6e492b61789_233","635a081118a8dafa9e232517c2cf67f9_286","ff262237f3470f60d8b7b16b3d58ad2c_243","14c52b1fad0ff98e5cf49028371d6243_233","4a58a390596d4900f56ec453eae7d1e7_5285","cc2e0eb80d2c122d721349f05f3eeaf8_195","46fc0cff5994e5bf181db51ddfa21095_187","0f07ae81df8f8d06fbc4da89d7ffc57a_185","8517706599505fe9f8a7a5c896166270_185"
"WP_000435107.1","","aldo/keto reductase family oxidoreductase","10","10","1","1","2657","","","","908","908","908","5ed739b8eba34d81c44a46f3a235e95d_1527","a6596c4a203e63fb6b02f6e492b61789_1377","635a081118a8dafa9e232517c2cf67f9_1505","ff262237f3470f60d8b7b16b3d58ad2c_1393","14c52b1fad0ff98e5cf49028371d6243_1343","4a58a390596d4900f56ec453eae7d1e7_952","cc2e0eb80d2c122d721349f05f3eeaf8_1375","46fc0cff5994e5bf181db51ddfa21095_1517","0f07ae81df8f8d06fbc4da89d7ffc57a_1503","8517706599505fe9f8a7a5c896166270_1501"
"mnmE","","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE","10","10","1","1","3016","","","","1379","1379","1379","5ed739b8eba34d81c44a46f3a235e95d_5814","a6596c4a203e63fb6b02f6e492b61789_5768","635a081118a8dafa9e232517c2cf67f9_5847","ff262237f3470f60d8b7b16b3d58ad2c_5837","14c52b1fad0ff98e5cf49028371d6243_5730","4a58a390596d4900f56ec453eae7d1e7_5099","cc2e0eb80d2c122d721349f05f3eeaf8_5536","46fc0cff5994e5bf181db51ddfa21095_5842","0f07ae81df8f8d06fbc4da89d7ffc57a_5789","8517706599505fe9f8a7a5c896166270_5780"
"WP_000535834.1","","ABC transporter ATP-binding protein","10","10","1","1","773","","","","1517","1517","1517","5ed739b8eba34d81c44a46f3a235e95d_4016","a6596c4a203e63fb6b02f6e492b61789_3964","635a081118a8dafa9e232517c2cf67f9_4096","ff262237f3470f60d8b7b16b3d58ad2c_3875","14c52b1fad0ff98e5cf49028371d6243_3927","4a58a390596d4900f56ec453eae7d1e7_3302","cc2e0eb80d2c122d721349f05f3eeaf8_3786","46fc0cff5994e5bf181db51ddfa21095_4072","0f07ae81df8f8d06fbc4da89d7ffc57a_3985","8517706599505fe9f8a7a5c896166270_4002"
"WP_000659770.1","","formate/nitrite transporter family protein","10","10","1","1","1441","","","","824","824","824","5ed739b8eba34d81c44a46f3a235e95d_563","a6596c4a203e63fb6b02f6e492b61789_551","635a081118a8dafa9e232517c2cf67f9_598","ff262237f3470f60d8b7b16b3d58ad2c_569","14c52b1fad0ff98e5cf49028371d6243_551","4a58a390596d4900f56ec453eae7d1e7_5625","cc2e0eb80d2c122d721349f05f3eeaf8_523","46fc0cff5994e5bf181db51ddfa21095_519","0f07ae81df8f8d06fbc4da89d7ffc57a_525","8517706599505fe9f8a7a5c896166270_515"
"WP_000915229.1","","YfhO family protein","10","10","1","1","4188","","","","2606","2606","2606","5ed739b8eba34d81c44a46f3a235e95d_2520","a6596c4a203e63fb6b02f6e492b61789_2346","635a081118a8dafa9e232517c2cf67f9_2467","ff262237f3470f60d8b7b16b3d58ad2c_2354","14c52b1fad0ff98e5cf49028371d6243_2310","4a58a390596d4900f56ec453eae7d1e7_1893","cc2e0eb80d2c122d721349f05f3eeaf8_2334","46fc0cff5994e5bf181db51ddfa21095_2600","0f07ae81df8f8d06fbc4da89d7ffc57a_2580","8517706599505fe9f8a7a5c896166270_3306"
"WP_000417015.1","","2-hydroxyacid dehydrogenase","10","10","1","1","3512","","","","953","953","953","5ed739b8eba34d81c44a46f3a235e95d_4935","a6596c4a203e63fb6b02f6e492b61789_4901","635a081118a8dafa9e232517c2cf67f9_5006","ff262237f3470f60d8b7b16b3d58ad2c_4956","14c52b1fad0ff98e5cf49028371d6243_4863","4a58a390596d4900f56ec453eae7d1e7_4257","cc2e0eb80d2c122d721349f05f3eeaf8_4687","46fc0cff5994e5bf181db51ddfa21095_4987","0f07ae81df8f8d06fbc4da89d7ffc57a_4953","8517706599505fe9f8a7a5c896166270_4944"
"mutL","","DNA mismatch repair endonuclease MutL","10","10","1","1","119","","","","2009","2009","2009","5ed739b8eba34d81c44a46f3a235e95d_2632","a6596c4a203e63fb6b02f6e492b61789_2462","635a081118a8dafa9e232517c2cf67f9_2579","ff262237f3470f60d8b7b16b3d58ad2c_2466","14c52b1fad0ff98e5cf49028371d6243_2424","4a58a390596d4900f56ec453eae7d1e7_2005","cc2e0eb80d2c122d721349f05f3eeaf8_2442","46fc0cff5994e5bf181db51ddfa21095_2710","0f07ae81df8f8d06fbc4da89d7ffc57a_2692","8517706599505fe9f8a7a5c896166270_3194"
"WP_000589549.1","","arsenate reductase family protein","10","10","1","1","2818","","","","356","356","356","5ed739b8eba34d81c44a46f3a235e95d_1811","a6596c4a203e63fb6b02f6e492b61789_1631","635a081118a8dafa9e232517c2cf67f9_1753","ff262237f3470f60d8b7b16b3d58ad2c_1647","14c52b1fad0ff98e5cf49028371d6243_1597","4a58a390596d4900f56ec453eae7d1e7_1200","cc2e0eb80d2c122d721349f05f3eeaf8_1627","46fc0cff5994e5bf181db51ddfa21095_1765","0f07ae81df8f8d06fbc4da89d7ffc57a_1751","8517706599505fe9f8a7a5c896166270_1749"
"deoD","","purine-nucleoside phosphorylase","10","10","1","1","3700","","","","710","710","710","5ed739b8eba34d81c44a46f3a235e95d_4566","a6596c4a203e63fb6b02f6e492b61789_4542","635a081118a8dafa9e232517c2cf67f9_4644","ff262237f3470f60d8b7b16b3d58ad2c_4587","14c52b1fad0ff98e5cf49028371d6243_4504","4a58a390596d4900f56ec453eae7d1e7_3902","cc2e0eb80d2c122d721349f05f3eeaf8_4336","46fc0cff5994e5bf181db51ddfa21095_4628","0f07ae81df8f8d06fbc4da89d7ffc57a_4598","8517706599505fe9f8a7a5c896166270_4589"
"sigB","","RNA polymerase sigma factor SigB","10","10","1","1","3777","","","","770","770","770","5ed739b8eba34d81c44a46f3a235e95d_4413","a6596c4a203e63fb6b02f6e492b61789_4393","635a081118a8dafa9e232517c2cf67f9_4491","ff262237f3470f60d8b7b16b3d58ad2c_4438","14c52b1fad0ff98e5cf49028371d6243_4355","4a58a390596d4900f56ec453eae7d1e7_3742","cc2e0eb80d2c122d721349f05f3eeaf8_4185","46fc0cff5994e5bf181db51ddfa21095_4479","0f07ae81df8f8d06fbc4da89d7ffc57a_4449","8517706599505fe9f8a7a5c896166270_4440"
"WP_000983330.1","","PTS transporter subunit EIIC","10","10","1","1","3637","","","","1712","1712","1712","5ed739b8eba34d81c44a46f3a235e95d_4703","a6596c4a203e63fb6b02f6e492b61789_4671","635a081118a8dafa9e232517c2cf67f9_4775","ff262237f3470f60d8b7b16b3d58ad2c_4724","14c52b1fad0ff98e5cf49028371d6243_4633","4a58a390596d4900f56ec453eae7d1e7_4035","cc2e0eb80d2c122d721349f05f3eeaf8_4467","46fc0cff5994e5bf181db51ddfa21095_4759","0f07ae81df8f8d06fbc4da89d7ffc57a_4731","8517706599505fe9f8a7a5c896166270_4722"
"lspA","","lipoprotein signal peptidase","10","10","1","1","4142","","","","491","491","491","5ed739b8eba34d81c44a46f3a235e95d_2428","a6596c4a203e63fb6b02f6e492b61789_2254","635a081118a8dafa9e232517c2cf67f9_2375","ff262237f3470f60d8b7b16b3d58ad2c_2262","14c52b1fad0ff98e5cf49028371d6243_2218","4a58a390596d4900f56ec453eae7d1e7_1801","cc2e0eb80d2c122d721349f05f3eeaf8_2242","46fc0cff5994e5bf181db51ddfa21095_2508","0f07ae81df8f8d06fbc4da89d7ffc57a_2488","8517706599505fe9f8a7a5c896166270_3398"
"WP_000838479.1","","DNA topoisomerase III","10","10","1","1","3567","","","","2135","2135","2135","5ed739b8eba34d81c44a46f3a235e95d_4831","a6596c4a203e63fb6b02f6e492b61789_4797","635a081118a8dafa9e232517c2cf67f9_4902","ff262237f3470f60d8b7b16b3d58ad2c_4852","14c52b1fad0ff98e5cf49028371d6243_4759","4a58a390596d4900f56ec453eae7d1e7_4153","cc2e0eb80d2c122d721349f05f3eeaf8_4581","46fc0cff5994e5bf181db51ddfa21095_4883","0f07ae81df8f8d06fbc4da89d7ffc57a_4849","8517706599505fe9f8a7a5c896166270_4840"
"sdaAA","","L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha","10","10","1","1","3234","","","","899","899","899","5ed739b8eba34d81c44a46f3a235e95d_5418","a6596c4a203e63fb6b02f6e492b61789_5390","635a081118a8dafa9e232517c2cf67f9_5467","ff262237f3470f60d8b7b16b3d58ad2c_5439","14c52b1fad0ff98e5cf49028371d6243_5352","4a58a390596d4900f56ec453eae7d1e7_4729","cc2e0eb80d2c122d721349f05f3eeaf8_5150","46fc0cff5994e5bf181db51ddfa21095_5462","0f07ae81df8f8d06fbc4da89d7ffc57a_5419","8517706599505fe9f8a7a5c896166270_5408"
"fumC","","class II fumarate hydratase","10","10","1","1","748","","","","1385","1385","1385","5ed739b8eba34d81c44a46f3a235e95d_3879","a6596c4a203e63fb6b02f6e492b61789_3815","635a081118a8dafa9e232517c2cf67f9_3965","ff262237f3470f60d8b7b16b3d58ad2c_3735","14c52b1fad0ff98e5cf49028371d6243_3787","4a58a390596d4900f56ec453eae7d1e7_3169","cc2e0eb80d2c122d721349f05f3eeaf8_3651","46fc0cff5994e5bf181db51ddfa21095_3939","0f07ae81df8f8d06fbc4da89d7ffc57a_3852","8517706599505fe9f8a7a5c896166270_3869"
"WP_000606210.1","","epoxyqueuosine reductase QueH","10","10","1","1","3163","","","","722","722","722","5ed739b8eba34d81c44a46f3a235e95d_5548","a6596c4a203e63fb6b02f6e492b61789_5518","635a081118a8dafa9e232517c2cf67f9_5589","ff262237f3470f60d8b7b16b3d58ad2c_5569","14c52b1fad0ff98e5cf49028371d6243_5480","4a58a390596d4900f56ec453eae7d1e7_4851","cc2e0eb80d2c122d721349f05f3eeaf8_5274","46fc0cff5994e5bf181db51ddfa21095_5588","0f07ae81df8f8d06fbc4da89d7ffc57a_5541","8517706599505fe9f8a7a5c896166270_5530"
"rlmN","","23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN","10","10","1","1","4164","","","","1094","1094","1094","5ed739b8eba34d81c44a46f3a235e95d_2472","a6596c4a203e63fb6b02f6e492b61789_2298","635a081118a8dafa9e232517c2cf67f9_2419","ff262237f3470f60d8b7b16b3d58ad2c_2306","14c52b1fad0ff98e5cf49028371d6243_2262","4a58a390596d4900f56ec453eae7d1e7_1845","cc2e0eb80d2c122d721349f05f3eeaf8_2286","46fc0cff5994e5bf181db51ddfa21095_2552","0f07ae81df8f8d06fbc4da89d7ffc57a_2532","8517706599505fe9f8a7a5c896166270_3354"
"gltB","","glutamate synthase large subunit","10","10","1","1","2409","","","","4493","4499","4498","5ed739b8eba34d81c44a46f3a235e95d_999","a6596c4a203e63fb6b02f6e492b61789_871","635a081118a8dafa9e232517c2cf67f9_926","ff262237f3470f60d8b7b16b3d58ad2c_867","14c52b1fad0ff98e5cf49028371d6243_835","4a58a390596d4900f56ec453eae7d1e7_456","cc2e0eb80d2c122d721349f05f3eeaf8_863","46fc0cff5994e5bf181db51ddfa21095_995","0f07ae81df8f8d06fbc4da89d7ffc57a_995","8517706599505fe9f8a7a5c896166270_990"
"WP_000521495.1","","phosphoglucosamine mutase","10","10","1","1","3670","","","","1355","1355","1355","5ed739b8eba34d81c44a46f3a235e95d_4610","a6596c4a203e63fb6b02f6e492b61789_4584","635a081118a8dafa9e232517c2cf67f9_4688","ff262237f3470f60d8b7b16b3d58ad2c_4631","14c52b1fad0ff98e5cf49028371d6243_4546","4a58a390596d4900f56ec453eae7d1e7_3948","cc2e0eb80d2c122d721349f05f3eeaf8_4380","46fc0cff5994e5bf181db51ddfa21095_4670","0f07ae81df8f8d06fbc4da89d7ffc57a_4644","8517706599505fe9f8a7a5c896166270_4635"
"gltS","","sodium/glutamate symporter","10","10","1","1","3467","","","","1208","1208","1208","5ed739b8eba34d81c44a46f3a235e95d_5020","a6596c4a203e63fb6b02f6e492b61789_4982","635a081118a8dafa9e232517c2cf67f9_5089","ff262237f3470f60d8b7b16b3d58ad2c_5041","14c52b1fad0ff98e5cf49028371d6243_4944","4a58a390596d4900f56ec453eae7d1e7_4340","cc2e0eb80d2c122d721349f05f3eeaf8_4770","46fc0cff5994e5bf181db51ddfa21095_5072","0f07ae81df8f8d06fbc4da89d7ffc57a_5036","8517706599505fe9f8a7a5c896166270_5027"
"WP_000473689.1","","PTS transporter subunit EIIC","10","10","1","1","3223","","","","2066","2066","2066","5ed739b8eba34d81c44a46f3a235e95d_5434","a6596c4a203e63fb6b02f6e492b61789_5408","635a081118a8dafa9e232517c2cf67f9_5483","ff262237f3470f60d8b7b16b3d58ad2c_5455","14c52b1fad0ff98e5cf49028371d6243_5370","4a58a390596d4900f56ec453eae7d1e7_4745","cc2e0eb80d2c122d721349f05f3eeaf8_5166","46fc0cff5994e5bf181db51ddfa21095_5478","0f07ae81df8f8d06fbc4da89d7ffc57a_5435","8517706599505fe9f8a7a5c896166270_5424"
"rsfS","","ribosome silencing factor","10","10","1","1","362","","","","353","353","353","5ed739b8eba34d81c44a46f3a235e95d_3297","a6596c4a203e63fb6b02f6e492b61789_3272","635a081118a8dafa9e232517c2cf67f9_3383","ff262237f3470f60d8b7b16b3d58ad2c_3119","14c52b1fad0ff98e5cf49028371d6243_3240","4a58a390596d4900f56ec453eae7d1e7_2611","cc2e0eb80d2c122d721349f05f3eeaf8_3097","46fc0cff5994e5bf181db51ddfa21095_3407","0f07ae81df8f8d06fbc4da89d7ffc57a_3297","8517706599505fe9f8a7a5c896166270_2579"
"WP_000183388.1","","6-phospho-beta-glucosidase","10","10","1","1","1361","","","","1436","1436","1436","5ed739b8eba34d81c44a46f3a235e95d_481","a6596c4a203e63fb6b02f6e492b61789_477","635a081118a8dafa9e232517c2cf67f9_524","ff262237f3470f60d8b7b16b3d58ad2c_487","14c52b1fad0ff98e5cf49028371d6243_477","4a58a390596d4900f56ec453eae7d1e7_5523","cc2e0eb80d2c122d721349f05f3eeaf8_447","46fc0cff5994e5bf181db51ddfa21095_439","0f07ae81df8f8d06fbc4da89d7ffc57a_423","8517706599505fe9f8a7a5c896166270_423"
"WP_001242102.1","","hypothetical protein","10","10","1","1","1809","","","","347","347","347","5ed739b8eba34d81c44a46f3a235e95d_2020","a6596c4a203e63fb6b02f6e492b61789_1842","635a081118a8dafa9e232517c2cf67f9_1967","ff262237f3470f60d8b7b16b3d58ad2c_1856","14c52b1fad0ff98e5cf49028371d6243_1806","4a58a390596d4900f56ec453eae7d1e7_1403","cc2e0eb80d2c122d721349f05f3eeaf8_1834","46fc0cff5994e5bf181db51ddfa21095_2106","0f07ae81df8f8d06fbc4da89d7ffc57a_1956","8517706599505fe9f8a7a5c896166270_1954"
