"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10317_2","NCTC11359_2","NCTC11698_2","NCTC13635_2","NCTC418_2","NCTC9157_2","NCTC9171_2","NCTC9667_2","NCTC9793_2","NFYY0065_2"
"glnG","","nitrogen regulation protein NR(I)","10","10","1","1","2896","","","","1409","1409","1409","8777fb3be99985d899573c6a12a3dd51_10095","82cb54a66be23676d92c45561410fc22_9903","71b4f8e38d314b58d2a15397a624f579_10341","cf72a3ad6e3d2448b8ff3941fa28861f_5026","d90f2a772ef9bba7f6f75c33978b075a_10934","53c9d146af329787812b2e1790bf32a4_10336","437f59dc9dcfa09ce2d50a324ebaf4a8_10127","d00c3ca4aa2df69f978eefbbe3fb03e7_7933","1304c761f7edd07127d4c6b6f249f721_7908","f8019d7ff0b2507577fd8d830299c3cc_9125"
"rpmJ","","50S ribosomal protein L36","10","10","1","1","3188","","","","116","116","116","8777fb3be99985d899573c6a12a3dd51_849","82cb54a66be23676d92c45561410fc22_866","71b4f8e38d314b58d2a15397a624f579_884","cf72a3ad6e3d2448b8ff3941fa28861f_6026","d90f2a772ef9bba7f6f75c33978b075a_1433","53c9d146af329787812b2e1790bf32a4_867","437f59dc9dcfa09ce2d50a324ebaf4a8_861","d00c3ca4aa2df69f978eefbbe3fb03e7_6937","1304c761f7edd07127d4c6b6f249f721_8877","f8019d7ff0b2507577fd8d830299c3cc_8120"
"tpx","","thiol peroxidase","10","10","1","1","5788","","","","506","506","506","8777fb3be99985d899573c6a12a3dd51_5740","82cb54a66be23676d92c45561410fc22_5686","71b4f8e38d314b58d2a15397a624f579_5940","cf72a3ad6e3d2448b8ff3941fa28861f_1218","d90f2a772ef9bba7f6f75c33978b075a_6469","53c9d146af329787812b2e1790bf32a4_5903","437f59dc9dcfa09ce2d50a324ebaf4a8_5712","d00c3ca4aa2df69f978eefbbe3fb03e7_1909","1304c761f7edd07127d4c6b6f249f721_3671","f8019d7ff0b2507577fd8d830299c3cc_3035"
"ecnB","","lipoprotein toxin entericidin B","10","10","1","1","5091","","","","146","146","146","8777fb3be99985d899573c6a12a3dd51_9306","82cb54a66be23676d92c45561410fc22_9140","71b4f8e38d314b58d2a15397a624f579_9514","cf72a3ad6e3d2448b8ff3941fa28861f_6365","d90f2a772ef9bba7f6f75c33978b075a_10157","53c9d146af329787812b2e1790bf32a4_9552","437f59dc9dcfa09ce2d50a324ebaf4a8_9352","d00c3ca4aa2df69f978eefbbe3fb03e7_8730","1304c761f7edd07127d4c6b6f249f721_7123","f8019d7ff0b2507577fd8d830299c3cc_9894"
"WP_002890412.1","","nucleoside-specific channel-forming protein Tsx","10","10","1","1","1724","","","","884","884","884","8777fb3be99985d899573c6a12a3dd51_7939","82cb54a66be23676d92c45561410fc22_7739","71b4f8e38d314b58d2a15397a624f579_8023","cf72a3ad6e3d2448b8ff3941fa28861f_7753","d90f2a772ef9bba7f6f75c33978b075a_8719","53c9d146af329787812b2e1790bf32a4_8089","437f59dc9dcfa09ce2d50a324ebaf4a8_7872","d00c3ca4aa2df69f978eefbbe3fb03e7_10123","1304c761f7edd07127d4c6b6f249f721_5670","f8019d7ff0b2507577fd8d830299c3cc_892"
"nusB","","transcription antitermination factor NusB","10","10","1","1","1719","","","","419","419","419","8777fb3be99985d899573c6a12a3dd51_7929","82cb54a66be23676d92c45561410fc22_7729","71b4f8e38d314b58d2a15397a624f579_8013","cf72a3ad6e3d2448b8ff3941fa28861f_7763","d90f2a772ef9bba7f6f75c33978b075a_8709","53c9d146af329787812b2e1790bf32a4_8079","437f59dc9dcfa09ce2d50a324ebaf4a8_7862","d00c3ca4aa2df69f978eefbbe3fb03e7_10133","1304c761f7edd07127d4c6b6f249f721_5660","f8019d7ff0b2507577fd8d830299c3cc_902"
"cdaR","","DNA-binding transcriptional regulator CdaR","10","10","1","1","1951","","","","1157","1157","1157","8777fb3be99985d899573c6a12a3dd51_8335","82cb54a66be23676d92c45561410fc22_8164","71b4f8e38d314b58d2a15397a624f579_8491","cf72a3ad6e3d2448b8ff3941fa28861f_7333","d90f2a772ef9bba7f6f75c33978b075a_9113","53c9d146af329787812b2e1790bf32a4_8497","437f59dc9dcfa09ce2d50a324ebaf4a8_8314","d00c3ca4aa2df69f978eefbbe3fb03e7_9725","1304c761f7edd07127d4c6b6f249f721_6079","f8019d7ff0b2507577fd8d830299c3cc_480"
"WP_002914359.1","","BON domain-containing protein","10","10","1","1","391","","","","314","314","314","8777fb3be99985d899573c6a12a3dd51_2263","82cb54a66be23676d92c45561410fc22_2241","71b4f8e38d314b58d2a15397a624f579_2365","cf72a3ad6e3d2448b8ff3941fa28861f_3137","d90f2a772ef9bba7f6f75c33978b075a_2870","53c9d146af329787812b2e1790bf32a4_2261","437f59dc9dcfa09ce2d50a324ebaf4a8_2244","d00c3ca4aa2df69f978eefbbe3fb03e7_5521","1304c761f7edd07127d4c6b6f249f721_10341","f8019d7ff0b2507577fd8d830299c3cc_6757"
"corA","","magnesium/cobalt transporter CorA","10","10","1","1","3005","","","","950","950","950","8777fb3be99985d899573c6a12a3dd51_9801","82cb54a66be23676d92c45561410fc22_9627","71b4f8e38d314b58d2a15397a624f579_10049","cf72a3ad6e3d2448b8ff3941fa28861f_4732","d90f2a772ef9bba7f6f75c33978b075a_10644","53c9d146af329787812b2e1790bf32a4_10044","437f59dc9dcfa09ce2d50a324ebaf4a8_9847","d00c3ca4aa2df69f978eefbbe3fb03e7_8227","1304c761f7edd07127d4c6b6f249f721_7618","f8019d7ff0b2507577fd8d830299c3cc_9401"
"dkgA","","2,5-didehydrogluconate reductase DkgA","10","10","1","1","4135","","","","827","827","827","8777fb3be99985d899573c6a12a3dd51_1425","82cb54a66be23676d92c45561410fc22_1414","71b4f8e38d314b58d2a15397a624f579_1418","cf72a3ad6e3d2448b8ff3941fa28861f_4081","d90f2a772ef9bba7f6f75c33978b075a_1975","53c9d146af329787812b2e1790bf32a4_1429","437f59dc9dcfa09ce2d50a324ebaf4a8_1409","d00c3ca4aa2df69f978eefbbe3fb03e7_6363","1304c761f7edd07127d4c6b6f249f721_9401","f8019d7ff0b2507577fd8d830299c3cc_7560"
"sufE","","cysteine desulfuration protein SufE","10","10","1","1","4550","","","","416","416","416","8777fb3be99985d899573c6a12a3dd51_4124","82cb54a66be23676d92c45561410fc22_4148","71b4f8e38d314b58d2a15397a624f579_4278","cf72a3ad6e3d2448b8ff3941fa28861f_10180","d90f2a772ef9bba7f6f75c33978b075a_4870","53c9d146af329787812b2e1790bf32a4_4171","437f59dc9dcfa09ce2d50a324ebaf4a8_4112","d00c3ca4aa2df69f978eefbbe3fb03e7_3533","1304c761f7edd07127d4c6b6f249f721_1917","f8019d7ff0b2507577fd8d830299c3cc_4653"
"idi","","isopentenyl-diphosphate Delta-isomerase","10","10","1","1","4319","","","","554","554","554","8777fb3be99985d899573c6a12a3dd51_1652","82cb54a66be23676d92c45561410fc22_1615","71b4f8e38d314b58d2a15397a624f579_1634","cf72a3ad6e3d2448b8ff3941fa28861f_3836","d90f2a772ef9bba7f6f75c33978b075a_2186","53c9d146af329787812b2e1790bf32a4_1658","437f59dc9dcfa09ce2d50a324ebaf4a8_1604","d00c3ca4aa2df69f978eefbbe3fb03e7_6128","1304c761f7edd07127d4c6b6f249f721_9755","f8019d7ff0b2507577fd8d830299c3cc_7359"
"rplN","","50S ribosomal protein L14","10","10","1","1","3199","","","","371","371","371","8777fb3be99985d899573c6a12a3dd51_827","82cb54a66be23676d92c45561410fc22_844","71b4f8e38d314b58d2a15397a624f579_862","cf72a3ad6e3d2448b8ff3941fa28861f_6004","d90f2a772ef9bba7f6f75c33978b075a_1411","53c9d146af329787812b2e1790bf32a4_845","437f59dc9dcfa09ce2d50a324ebaf4a8_839","d00c3ca4aa2df69f978eefbbe3fb03e7_6959","1304c761f7edd07127d4c6b6f249f721_8855","f8019d7ff0b2507577fd8d830299c3cc_8142"
"aroK","","shikimate kinase AroK","10","10","1","1","3252","","","","521","521","521","8777fb3be99985d899573c6a12a3dd51_721","82cb54a66be23676d92c45561410fc22_740","71b4f8e38d314b58d2a15397a624f579_754","cf72a3ad6e3d2448b8ff3941fa28861f_5900","d90f2a772ef9bba7f6f75c33978b075a_1307","53c9d146af329787812b2e1790bf32a4_737","437f59dc9dcfa09ce2d50a324ebaf4a8_731","d00c3ca4aa2df69f978eefbbe3fb03e7_7065","1304c761f7edd07127d4c6b6f249f721_8751","f8019d7ff0b2507577fd8d830299c3cc_8250"
"WP_004144529.1","","short-chain dehydrogenase","10","10","1","1","4101","","","","146","146","146","8777fb3be99985d899573c6a12a3dd51_1358","82cb54a66be23676d92c45561410fc22_1343","71b4f8e38d314b58d2a15397a624f579_1347","cf72a3ad6e3d2448b8ff3941fa28861f_4152","d90f2a772ef9bba7f6f75c33978b075a_1904","53c9d146af329787812b2e1790bf32a4_1358","437f59dc9dcfa09ce2d50a324ebaf4a8_1342","d00c3ca4aa2df69f978eefbbe3fb03e7_6430","1304c761f7edd07127d4c6b6f249f721_9330","f8019d7ff0b2507577fd8d830299c3cc_7631"
"rplW","","50S ribosomal protein L23","10","10","1","1","3207","","","","302","302","302","8777fb3be99985d899573c6a12a3dd51_811","82cb54a66be23676d92c45561410fc22_828","71b4f8e38d314b58d2a15397a624f579_846","cf72a3ad6e3d2448b8ff3941fa28861f_5988","d90f2a772ef9bba7f6f75c33978b075a_1395","53c9d146af329787812b2e1790bf32a4_829","437f59dc9dcfa09ce2d50a324ebaf4a8_823","d00c3ca4aa2df69f978eefbbe3fb03e7_6975","1304c761f7edd07127d4c6b6f249f721_8839","f8019d7ff0b2507577fd8d830299c3cc_8158"
"WP_004151747.1","","CsbD family protein","10","10","1","1","5365","","","","209","209","209","8777fb3be99985d899573c6a12a3dd51_9547","82cb54a66be23676d92c45561410fc22_9371","71b4f8e38d314b58d2a15397a624f579_9801","cf72a3ad6e3d2448b8ff3941fa28861f_6170","d90f2a772ef9bba7f6f75c33978b075a_10390","53c9d146af329787812b2e1790bf32a4_9802","437f59dc9dcfa09ce2d50a324ebaf4a8_9587","d00c3ca4aa2df69f978eefbbe3fb03e7_8481","1304c761f7edd07127d4c6b6f249f721_7364","f8019d7ff0b2507577fd8d830299c3cc_9655"
"WP_002893037.1","","DUF1158 domain-containing protein","10","10","1","1","6584","","","","248","248","248","8777fb3be99985d899573c6a12a3dd51_7520","82cb54a66be23676d92c45561410fc22_7328","71b4f8e38d314b58d2a15397a624f579_7594","cf72a3ad6e3d2448b8ff3941fa28861f_8185","d90f2a772ef9bba7f6f75c33978b075a_8142","53c9d146af329787812b2e1790bf32a4_7510","437f59dc9dcfa09ce2d50a324ebaf4a8_7456","d00c3ca4aa2df69f978eefbbe3fb03e7_207","1304c761f7edd07127d4c6b6f249f721_5243","f8019d7ff0b2507577fd8d830299c3cc_1329"
"mntS","","manganase accumulation protein MntS","10","10","1","1","6865","","","","125","125","125","8777fb3be99985d899573c6a12a3dd51_6911","82cb54a66be23676d92c45561410fc22_6737","71b4f8e38d314b58d2a15397a624f579_6974","cf72a3ad6e3d2448b8ff3941fa28861f_8818","d90f2a772ef9bba7f6f75c33978b075a_7533","53c9d146af329787812b2e1790bf32a4_6893","437f59dc9dcfa09ce2d50a324ebaf4a8_6817","d00c3ca4aa2df69f978eefbbe3fb03e7_820","1304c761f7edd07127d4c6b6f249f721_4634","f8019d7ff0b2507577fd8d830299c3cc_1968"
"metK","","methionine adenosyltransferase","10","10","1","1","4258","","","","1154","1154","1154","8777fb3be99985d899573c6a12a3dd51_1530","82cb54a66be23676d92c45561410fc22_1523","71b4f8e38d314b58d2a15397a624f579_1537","cf72a3ad6e3d2448b8ff3941fa28861f_3960","d90f2a772ef9bba7f6f75c33978b075a_2094","53c9d146af329787812b2e1790bf32a4_1534","437f59dc9dcfa09ce2d50a324ebaf4a8_1512","d00c3ca4aa2df69f978eefbbe3fb03e7_6250","1304c761f7edd07127d4c6b6f249f721_9630","f8019d7ff0b2507577fd8d830299c3cc_7455"
"ribA","","GTP cyclohydrolase II","10","10","1","1","5546","","","","602","602","602","8777fb3be99985d899573c6a12a3dd51_5810","82cb54a66be23676d92c45561410fc22_5872","71b4f8e38d314b58d2a15397a624f579_6090","cf72a3ad6e3d2448b8ff3941fa28861f_1292","d90f2a772ef9bba7f6f75c33978b075a_6539","53c9d146af329787812b2e1790bf32a4_5975","437f59dc9dcfa09ce2d50a324ebaf4a8_5933","d00c3ca4aa2df69f978eefbbe3fb03e7_1839","1304c761f7edd07127d4c6b6f249f721_3741","f8019d7ff0b2507577fd8d830299c3cc_2963"
"pstC","","phosphate ABC transporter permease PstC","10","10","1","1","2855","","","","959","959","959","8777fb3be99985d899573c6a12a3dd51_10193","82cb54a66be23676d92c45561410fc22_9995","71b4f8e38d314b58d2a15397a624f579_10439","cf72a3ad6e3d2448b8ff3941fa28861f_5122","d90f2a772ef9bba7f6f75c33978b075a_11026","53c9d146af329787812b2e1790bf32a4_10434","437f59dc9dcfa09ce2d50a324ebaf4a8_10225","d00c3ca4aa2df69f978eefbbe3fb03e7_7835","1304c761f7edd07127d4c6b6f249f721_8000","f8019d7ff0b2507577fd8d830299c3cc_9027"
"rpiA","","ribose-5-phosphate isomerase RpiA","10","10","1","1","4287","","","","659","659","659","8777fb3be99985d899573c6a12a3dd51_1590","82cb54a66be23676d92c45561410fc22_1553","71b4f8e38d314b58d2a15397a624f579_1567","cf72a3ad6e3d2448b8ff3941fa28861f_3898","d90f2a772ef9bba7f6f75c33978b075a_2124","53c9d146af329787812b2e1790bf32a4_1594","437f59dc9dcfa09ce2d50a324ebaf4a8_1542","d00c3ca4aa2df69f978eefbbe3fb03e7_6190","1304c761f7edd07127d4c6b6f249f721_9690","f8019d7ff0b2507577fd8d830299c3cc_7423"
"yrbN","","protein YrbN","10","10","1","1","3988","","","","80","80","80","8777fb3be99985d899573c6a12a3dd51_1106","82cb54a66be23676d92c45561410fc22_1117","71b4f8e38d314b58d2a15397a624f579_1141","cf72a3ad6e3d2448b8ff3941fa28861f_4354","d90f2a772ef9bba7f6f75c33978b075a_1688","53c9d146af329787812b2e1790bf32a4_1124","437f59dc9dcfa09ce2d50a324ebaf4a8_1116","d00c3ca4aa2df69f978eefbbe3fb03e7_6682","1304c761f7edd07127d4c6b6f249f721_9130","f8019d7ff0b2507577fd8d830299c3cc_7863"
"luxS","","S-ribosylhomocysteine lyase","10","10","1","1","395","","","","515","515","515","8777fb3be99985d899573c6a12a3dd51_2271","82cb54a66be23676d92c45561410fc22_2249","71b4f8e38d314b58d2a15397a624f579_2373","cf72a3ad6e3d2448b8ff3941fa28861f_3129","d90f2a772ef9bba7f6f75c33978b075a_2878","53c9d146af329787812b2e1790bf32a4_2269","437f59dc9dcfa09ce2d50a324ebaf4a8_2252","d00c3ca4aa2df69f978eefbbe3fb03e7_5513","1304c761f7edd07127d4c6b6f249f721_10349","f8019d7ff0b2507577fd8d830299c3cc_6749"
"infC","","translation initiation factor IF-3","10","10","1","1","4504","","","","542","542","542","8777fb3be99985d899573c6a12a3dd51_4026","82cb54a66be23676d92c45561410fc22_4048","71b4f8e38d314b58d2a15397a624f579_4178","cf72a3ad6e3d2448b8ff3941fa28861f_10083","d90f2a772ef9bba7f6f75c33978b075a_4770","53c9d146af329787812b2e1790bf32a4_4071","437f59dc9dcfa09ce2d50a324ebaf4a8_4015","d00c3ca4aa2df69f978eefbbe3fb03e7_3631","1304c761f7edd07127d4c6b6f249f721_1821","f8019d7ff0b2507577fd8d830299c3cc_4749"
"coaD","","pantetheine-phosphate adenylyltransferase","10","10","1","1","2690","","","","479","479","479","8777fb3be99985d899573c6a12a3dd51_281","82cb54a66be23676d92c45561410fc22_289","71b4f8e38d314b58d2a15397a624f579_291","cf72a3ad6e3d2448b8ff3941fa28861f_5435","d90f2a772ef9bba7f6f75c33978b075a_865","53c9d146af329787812b2e1790bf32a4_289","437f59dc9dcfa09ce2d50a324ebaf4a8_284","d00c3ca4aa2df69f978eefbbe3fb03e7_7513","1304c761f7edd07127d4c6b6f249f721_8314","f8019d7ff0b2507577fd8d830299c3cc_8695"
"tgt","","tRNA guanosine(34) transglycosylase Tgt","10","10","1","1","1730","","","","1127","1127","1127","8777fb3be99985d899573c6a12a3dd51_7951","82cb54a66be23676d92c45561410fc22_7751","71b4f8e38d314b58d2a15397a624f579_8035","cf72a3ad6e3d2448b8ff3941fa28861f_7741","d90f2a772ef9bba7f6f75c33978b075a_8731","53c9d146af329787812b2e1790bf32a4_8101","437f59dc9dcfa09ce2d50a324ebaf4a8_7884","d00c3ca4aa2df69f978eefbbe3fb03e7_10111","1304c761f7edd07127d4c6b6f249f721_5682","f8019d7ff0b2507577fd8d830299c3cc_880"
"ilvL","","ilv operon leader peptide","10","10","1","1","2958","","","","98","98","98","8777fb3be99985d899573c6a12a3dd51_9901","82cb54a66be23676d92c45561410fc22_9725","71b4f8e38d314b58d2a15397a624f579_10149","cf72a3ad6e3d2448b8ff3941fa28861f_4836","d90f2a772ef9bba7f6f75c33978b075a_10742","53c9d146af329787812b2e1790bf32a4_10144","437f59dc9dcfa09ce2d50a324ebaf4a8_9949","d00c3ca4aa2df69f978eefbbe3fb03e7_8127","1304c761f7edd07127d4c6b6f249f721_7716","f8019d7ff0b2507577fd8d830299c3cc_9301"
"WP_002915549.1","","YgdI/YgdR family lipoprotein","10","10","1","1","240","","","","224","224","224","8777fb3be99985d899573c6a12a3dd51_1951","82cb54a66be23676d92c45561410fc22_1960","71b4f8e38d314b58d2a15397a624f579_2043","cf72a3ad6e3d2448b8ff3941fa28861f_3458","d90f2a772ef9bba7f6f75c33978b075a_2557","53c9d146af329787812b2e1790bf32a4_1962","437f59dc9dcfa09ce2d50a324ebaf4a8_1937","d00c3ca4aa2df69f978eefbbe3fb03e7_5829","1304c761f7edd07127d4c6b6f249f721_10052","f8019d7ff0b2507577fd8d830299c3cc_7056"
"WP_004150939.1","","OB-fold putative lipoprotein","10","10","1","1","4025","","","","464","464","464","8777fb3be99985d899573c6a12a3dd51_1209","82cb54a66be23676d92c45561410fc22_1192","71b4f8e38d314b58d2a15397a624f579_1192","cf72a3ad6e3d2448b8ff3941fa28861f_4305","d90f2a772ef9bba7f6f75c33978b075a_1737","53c9d146af329787812b2e1790bf32a4_1203","437f59dc9dcfa09ce2d50a324ebaf4a8_1193","d00c3ca4aa2df69f978eefbbe3fb03e7_6579","1304c761f7edd07127d4c6b6f249f721_9179","f8019d7ff0b2507577fd8d830299c3cc_7786"
"WP_002908860.1","","major outer membrane lipoprotein","10","10","1","1","4552","","","","236","236","236","8777fb3be99985d899573c6a12a3dd51_4128","82cb54a66be23676d92c45561410fc22_4152","71b4f8e38d314b58d2a15397a624f579_4282","cf72a3ad6e3d2448b8ff3941fa28861f_10184","d90f2a772ef9bba7f6f75c33978b075a_4874","53c9d146af329787812b2e1790bf32a4_4175","437f59dc9dcfa09ce2d50a324ebaf4a8_4116","d00c3ca4aa2df69f978eefbbe3fb03e7_3529","1304c761f7edd07127d4c6b6f249f721_1921","f8019d7ff0b2507577fd8d830299c3cc_4649"
"rpmB","","50S ribosomal protein L28","10","10","1","1","2697","","","","236","236","236","8777fb3be99985d899573c6a12a3dd51_267","82cb54a66be23676d92c45561410fc22_283","71b4f8e38d314b58d2a15397a624f579_285","cf72a3ad6e3d2448b8ff3941fa28861f_5429","d90f2a772ef9bba7f6f75c33978b075a_859","53c9d146af329787812b2e1790bf32a4_283","437f59dc9dcfa09ce2d50a324ebaf4a8_278","d00c3ca4aa2df69f978eefbbe3fb03e7_7527","1304c761f7edd07127d4c6b6f249f721_8308","f8019d7ff0b2507577fd8d830299c3cc_8701"
"csrA","","carbon storage regulator CsrA","10","10","1","1","390","","","","185","185","185","8777fb3be99985d899573c6a12a3dd51_2246","82cb54a66be23676d92c45561410fc22_2224","71b4f8e38d314b58d2a15397a624f579_2346","cf72a3ad6e3d2448b8ff3941fa28861f_3154","d90f2a772ef9bba7f6f75c33978b075a_2853","53c9d146af329787812b2e1790bf32a4_2242","437f59dc9dcfa09ce2d50a324ebaf4a8_2227","d00c3ca4aa2df69f978eefbbe3fb03e7_5538","1304c761f7edd07127d4c6b6f249f721_10324","f8019d7ff0b2507577fd8d830299c3cc_6776"
"glnA","","glutamate--ammonia ligase","10","10","1","1","2898","","","","1409","1409","1409","8777fb3be99985d899573c6a12a3dd51_10091","82cb54a66be23676d92c45561410fc22_9899","71b4f8e38d314b58d2a15397a624f579_10337","cf72a3ad6e3d2448b8ff3941fa28861f_5022","d90f2a772ef9bba7f6f75c33978b075a_10930","53c9d146af329787812b2e1790bf32a4_10332","437f59dc9dcfa09ce2d50a324ebaf4a8_10123","d00c3ca4aa2df69f978eefbbe3fb03e7_7937","1304c761f7edd07127d4c6b6f249f721_7904","f8019d7ff0b2507577fd8d830299c3cc_9129"
"WP_004177547.1","","MarR family transcriptional regulator","10","10","1","1","2231","","","","464","464","464","8777fb3be99985d899573c6a12a3dd51_8896","82cb54a66be23676d92c45561410fc22_8725","71b4f8e38d314b58d2a15397a624f579_9086","cf72a3ad6e3d2448b8ff3941fa28861f_6755","d90f2a772ef9bba7f6f75c33978b075a_9694","53c9d146af329787812b2e1790bf32a4_9066","437f59dc9dcfa09ce2d50a324ebaf4a8_8886","d00c3ca4aa2df69f978eefbbe3fb03e7_9166","1304c761f7edd07127d4c6b6f249f721_6660","f8019d7ff0b2507577fd8d830299c3cc_10344"
"WP_002892173.1","","YbaB/EbfC family nucleoid-associated protein","10","10","1","1","1629","","","","332","332","332","8777fb3be99985d899573c6a12a3dd51_7749","82cb54a66be23676d92c45561410fc22_7553","71b4f8e38d314b58d2a15397a624f579_7833","cf72a3ad6e3d2448b8ff3941fa28861f_7944","d90f2a772ef9bba7f6f75c33978b075a_8533","53c9d146af329787812b2e1790bf32a4_7899","437f59dc9dcfa09ce2d50a324ebaf4a8_7681","d00c3ca4aa2df69f978eefbbe3fb03e7_10311","1304c761f7edd07127d4c6b6f249f721_5482","f8019d7ff0b2507577fd8d830299c3cc_1082"
"WP_002913338.1","","YfcL family protein","10","10","1","1","1148","","","","281","281","281","8777fb3be99985d899573c6a12a3dd51_2881","82cb54a66be23676d92c45561410fc22_2848","71b4f8e38d314b58d2a15397a624f579_2982","cf72a3ad6e3d2448b8ff3941fa28861f_2346","d90f2a772ef9bba7f6f75c33978b075a_3590","53c9d146af329787812b2e1790bf32a4_2885","437f59dc9dcfa09ce2d50a324ebaf4a8_2902","d00c3ca4aa2df69f978eefbbe3fb03e7_4825","1304c761f7edd07127d4c6b6f249f721_677","f8019d7ff0b2507577fd8d830299c3cc_6136"
"WP_002913768.1","","YpfN family protein","10","10","1","1","625","","","","203","203","203","8777fb3be99985d899573c6a12a3dd51_2679","82cb54a66be23676d92c45561410fc22_2649","71b4f8e38d314b58d2a15397a624f579_2781","cf72a3ad6e3d2448b8ff3941fa28861f_2674","d90f2a772ef9bba7f6f75c33978b075a_3280","53c9d146af329787812b2e1790bf32a4_2684","437f59dc9dcfa09ce2d50a324ebaf4a8_2703","d00c3ca4aa2df69f978eefbbe3fb03e7_5027","1304c761f7edd07127d4c6b6f249f721_478","f8019d7ff0b2507577fd8d830299c3cc_6337"
"uhpA","","transcriptional regulator UhpA","10","10","1","1","2801","","","","593","593","593","8777fb3be99985d899573c6a12a3dd51_70","82cb54a66be23676d92c45561410fc22_74","71b4f8e38d314b58d2a15397a624f579_76","cf72a3ad6e3d2448b8ff3941fa28861f_5232","d90f2a772ef9bba7f6f75c33978b075a_662","53c9d146af329787812b2e1790bf32a4_76","437f59dc9dcfa09ce2d50a324ebaf4a8_71","d00c3ca4aa2df69f978eefbbe3fb03e7_7724","1304c761f7edd07127d4c6b6f249f721_8111","f8019d7ff0b2507577fd8d830299c3cc_8912"
"sapF","","peptide ABC transporter ATP-binding protein SapF","10","10","1","1","5561","","","","809","809","809","8777fb3be99985d899573c6a12a3dd51_5782","82cb54a66be23676d92c45561410fc22_5844","71b4f8e38d314b58d2a15397a624f579_6060","cf72a3ad6e3d2448b8ff3941fa28861f_1260","d90f2a772ef9bba7f6f75c33978b075a_6511","53c9d146af329787812b2e1790bf32a4_5945","437f59dc9dcfa09ce2d50a324ebaf4a8_5905","d00c3ca4aa2df69f978eefbbe3fb03e7_1867","1304c761f7edd07127d4c6b6f249f721_3713","f8019d7ff0b2507577fd8d830299c3cc_2993"
"pspD","","phage shock protein PspD","10","10","1","1","5781","","","","218","218","218","8777fb3be99985d899573c6a12a3dd51_5754","82cb54a66be23676d92c45561410fc22_5700","71b4f8e38d314b58d2a15397a624f579_5954","cf72a3ad6e3d2448b8ff3941fa28861f_1232","d90f2a772ef9bba7f6f75c33978b075a_6483","53c9d146af329787812b2e1790bf32a4_5917","437f59dc9dcfa09ce2d50a324ebaf4a8_5726","d00c3ca4aa2df69f978eefbbe3fb03e7_1895","1304c761f7edd07127d4c6b6f249f721_3685","f8019d7ff0b2507577fd8d830299c3cc_3021"
"WP_002917920.1","","DoxX family protein","10","10","1","1","4032","","","","392","392","392","8777fb3be99985d899573c6a12a3dd51_1221","82cb54a66be23676d92c45561410fc22_1206","71b4f8e38d314b58d2a15397a624f579_1208","cf72a3ad6e3d2448b8ff3941fa28861f_4293","d90f2a772ef9bba7f6f75c33978b075a_1751","53c9d146af329787812b2e1790bf32a4_1219","437f59dc9dcfa09ce2d50a324ebaf4a8_1205","d00c3ca4aa2df69f978eefbbe3fb03e7_6567","1304c761f7edd07127d4c6b6f249f721_9193","f8019d7ff0b2507577fd8d830299c3cc_7770"
"fieF","","CDF family cation-efflux transporter FieF","10","10","1","1","2922","","","","902","902","902","8777fb3be99985d899573c6a12a3dd51_9999","82cb54a66be23676d92c45561410fc22_9823","71b4f8e38d314b58d2a15397a624f579_10247","cf72a3ad6e3d2448b8ff3941fa28861f_4936","d90f2a772ef9bba7f6f75c33978b075a_10840","53c9d146af329787812b2e1790bf32a4_10242","437f59dc9dcfa09ce2d50a324ebaf4a8_10045","d00c3ca4aa2df69f978eefbbe3fb03e7_8029","1304c761f7edd07127d4c6b6f249f721_7814","f8019d7ff0b2507577fd8d830299c3cc_9205"
"tomB","","Hha toxicity modulator TomB","10","10","1","1","1640","","","","374","374","374","8777fb3be99985d899573c6a12a3dd51_7772","82cb54a66be23676d92c45561410fc22_7576","71b4f8e38d314b58d2a15397a624f579_7856","cf72a3ad6e3d2448b8ff3941fa28861f_7920","d90f2a772ef9bba7f6f75c33978b075a_8556","53c9d146af329787812b2e1790bf32a4_7922","437f59dc9dcfa09ce2d50a324ebaf4a8_7703","d00c3ca4aa2df69f978eefbbe3fb03e7_10288","1304c761f7edd07127d4c6b6f249f721_5505","f8019d7ff0b2507577fd8d830299c3cc_1059"
"nudK","","GDP-mannose pyrophosphatase NudK","10","10","1","1","630","","","","596","596","596","8777fb3be99985d899573c6a12a3dd51_2693","82cb54a66be23676d92c45561410fc22_2661","71b4f8e38d314b58d2a15397a624f579_2793","cf72a3ad6e3d2448b8ff3941fa28861f_2660","d90f2a772ef9bba7f6f75c33978b075a_3292","53c9d146af329787812b2e1790bf32a4_2696","437f59dc9dcfa09ce2d50a324ebaf4a8_2717","d00c3ca4aa2df69f978eefbbe3fb03e7_5013","1304c761f7edd07127d4c6b6f249f721_490","f8019d7ff0b2507577fd8d830299c3cc_6325"
