"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10332_2","NCTC10728_2","NCTC11445_2","NCTC12903_2","NCTC13359_2","NCTC13618_2","NCTC13620_2","NCTC13715_2","PAO1_2","Pa58_2"
"WP_003105223.1","","hypothetical protein","10","10","1","1","5783","","","","443","443","443","bff5be9a05af26abf8b302cd0b3f69e2_977","f1bc4d4512a19bd29d7991c343d79c7a_6655","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9610","e1e193540533662714034fbaf73f5d6e_998","fbf66bbada04254cb1d7db6bed85cec5_1765","8fa835bf467b60db460d3f086747dc57_1019","d1676fa9fd9af43d40bcc74e7f0aec45_1077","9a62a93745f59da1e1aa95775073ed22_4460","252ccf95a1f36013216e1b90c752981b_1004","71007f8b45df3e0a6853be2ecfd5b6f2_1099"
"WP_003103307.1","","YfiM family lipoprotein","10","10","1","1","5790","","","","320","320","320","bff5be9a05af26abf8b302cd0b3f69e2_991","f1bc4d4512a19bd29d7991c343d79c7a_6669","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9596","e1e193540533662714034fbaf73f5d6e_1012","fbf66bbada04254cb1d7db6bed85cec5_1779","8fa835bf467b60db460d3f086747dc57_1033","d1676fa9fd9af43d40bcc74e7f0aec45_1091","9a62a93745f59da1e1aa95775073ed22_4474","252ccf95a1f36013216e1b90c752981b_1019","71007f8b45df3e0a6853be2ecfd5b6f2_1113"
"WP_003103309.1","","ComF family protein","10","10","1","1","5791","","","","725","725","725","bff5be9a05af26abf8b302cd0b3f69e2_993","f1bc4d4512a19bd29d7991c343d79c7a_6671","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9594","e1e193540533662714034fbaf73f5d6e_1014","fbf66bbada04254cb1d7db6bed85cec5_1781","8fa835bf467b60db460d3f086747dc57_1035","d1676fa9fd9af43d40bcc74e7f0aec45_1093","9a62a93745f59da1e1aa95775073ed22_4476","252ccf95a1f36013216e1b90c752981b_1021","71007f8b45df3e0a6853be2ecfd5b6f2_1115"
"pxpA","","5-oxoprolinase subunit PxpA","10","10","1","1","5795","","","","758","759","758","bff5be9a05af26abf8b302cd0b3f69e2_999","f1bc4d4512a19bd29d7991c343d79c7a_6677","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9588","e1e193540533662714034fbaf73f5d6e_1020","fbf66bbada04254cb1d7db6bed85cec5_1787","8fa835bf467b60db460d3f086747dc57_1041","d1676fa9fd9af43d40bcc74e7f0aec45_1099","9a62a93745f59da1e1aa95775073ed22_4482","252ccf95a1f36013216e1b90c752981b_1027","71007f8b45df3e0a6853be2ecfd5b6f2_1121"
"WP_003103323.1","","allophanate hydrolase subunit 1","10","10","1","1","5798","","","","878","878","878","bff5be9a05af26abf8b302cd0b3f69e2_1005","f1bc4d4512a19bd29d7991c343d79c7a_6683","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9582","e1e193540533662714034fbaf73f5d6e_1026","fbf66bbada04254cb1d7db6bed85cec5_1793","8fa835bf467b60db460d3f086747dc57_1047","d1676fa9fd9af43d40bcc74e7f0aec45_1105","9a62a93745f59da1e1aa95775073ed22_4488","252ccf95a1f36013216e1b90c752981b_1034","71007f8b45df3e0a6853be2ecfd5b6f2_1127"
"WP_003103343.1","","acyl-CoA dehydrogenase","10","10","1","1","5812","","","","1796","1797","1796","bff5be9a05af26abf8b302cd0b3f69e2_1029","f1bc4d4512a19bd29d7991c343d79c7a_6707","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9560","e1e193540533662714034fbaf73f5d6e_1050","fbf66bbada04254cb1d7db6bed85cec5_1815","8fa835bf467b60db460d3f086747dc57_1071","d1676fa9fd9af43d40bcc74e7f0aec45_1129","9a62a93745f59da1e1aa95775073ed22_4508","252ccf95a1f36013216e1b90c752981b_1058","71007f8b45df3e0a6853be2ecfd5b6f2_1147"
"WP_003103344.1","","acyl-CoA dehydrogenase","10","10","1","1","5814","","","","1778","1779","1778","bff5be9a05af26abf8b302cd0b3f69e2_1031","f1bc4d4512a19bd29d7991c343d79c7a_6709","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9558","e1e193540533662714034fbaf73f5d6e_1052","fbf66bbada04254cb1d7db6bed85cec5_1819","8fa835bf467b60db460d3f086747dc57_1075","d1676fa9fd9af43d40bcc74e7f0aec45_1133","9a62a93745f59da1e1aa95775073ed22_4510","252ccf95a1f36013216e1b90c752981b_1060","71007f8b45df3e0a6853be2ecfd5b6f2_1149"
"WP_003084858.1","","Lrp/AsnC family transcriptional regulator","10","10","1","1","5818","","","","500","515","513","bff5be9a05af26abf8b302cd0b3f69e2_1039","f1bc4d4512a19bd29d7991c343d79c7a_6717","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9550","e1e193540533662714034fbaf73f5d6e_1060","fbf66bbada04254cb1d7db6bed85cec5_1827","8fa835bf467b60db460d3f086747dc57_1083","d1676fa9fd9af43d40bcc74e7f0aec45_1141","9a62a93745f59da1e1aa95775073ed22_4518","252ccf95a1f36013216e1b90c752981b_1068","71007f8b45df3e0a6853be2ecfd5b6f2_1157"
"WP_003113239.1","","hypothetical protein","10","10","1","1","5828","","","","257","257","257","bff5be9a05af26abf8b302cd0b3f69e2_1059","f1bc4d4512a19bd29d7991c343d79c7a_6737","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9530","e1e193540533662714034fbaf73f5d6e_1080","fbf66bbada04254cb1d7db6bed85cec5_1847","8fa835bf467b60db460d3f086747dc57_1101","d1676fa9fd9af43d40bcc74e7f0aec45_1161","9a62a93745f59da1e1aa95775073ed22_4538","252ccf95a1f36013216e1b90c752981b_1088","71007f8b45df3e0a6853be2ecfd5b6f2_1177"
"WP_003118870.1","","hypothetical protein","10","10","1","1","5839","","","","263","506","408","bff5be9a05af26abf8b302cd0b3f69e2_1081","f1bc4d4512a19bd29d7991c343d79c7a_6759","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9508","e1e193540533662714034fbaf73f5d6e_1102","fbf66bbada04254cb1d7db6bed85cec5_1869","8fa835bf467b60db460d3f086747dc57_1123","d1676fa9fd9af43d40bcc74e7f0aec45_1183","9a62a93745f59da1e1aa95775073ed22_4560","252ccf95a1f36013216e1b90c752981b_1112","71007f8b45df3e0a6853be2ecfd5b6f2_1199"
"WP_003101589.1","","DUF1090 domain-containing protein","10","10","1","1","5849","","","","419","419","419","bff5be9a05af26abf8b302cd0b3f69e2_1101","f1bc4d4512a19bd29d7991c343d79c7a_6779","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9488","e1e193540533662714034fbaf73f5d6e_1122","fbf66bbada04254cb1d7db6bed85cec5_1891","8fa835bf467b60db460d3f086747dc57_1145","d1676fa9fd9af43d40bcc74e7f0aec45_1205","9a62a93745f59da1e1aa95775073ed22_4580","252ccf95a1f36013216e1b90c752981b_1132","71007f8b45df3e0a6853be2ecfd5b6f2_1219"
"thpR","","RNA 2',3'-cyclic phosphodiesterase","10","10","1","1","9677","","","","548","548","548","bff5be9a05af26abf8b302cd0b3f69e2_4307","f1bc4d4512a19bd29d7991c343d79c7a_9945","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6075","e1e193540533662714034fbaf73f5d6e_4317","fbf66bbada04254cb1d7db6bed85cec5_5462","8fa835bf467b60db460d3f086747dc57_4555","d1676fa9fd9af43d40bcc74e7f0aec45_4542","9a62a93745f59da1e1aa95775073ed22_7792","252ccf95a1f36013216e1b90c752981b_6107","71007f8b45df3e0a6853be2ecfd5b6f2_4796"
"WP_016852398.1","","hypothetical protein","10","10","1","1","5851","","","","743","743","743","bff5be9a05af26abf8b302cd0b3f69e2_1105","f1bc4d4512a19bd29d7991c343d79c7a_6783","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9484","e1e193540533662714034fbaf73f5d6e_1126","fbf66bbada04254cb1d7db6bed85cec5_1895","8fa835bf467b60db460d3f086747dc57_1149","d1676fa9fd9af43d40bcc74e7f0aec45_1209","9a62a93745f59da1e1aa95775073ed22_4584","252ccf95a1f36013216e1b90c752981b_1136","71007f8b45df3e0a6853be2ecfd5b6f2_1223"
"WP_003113229.1","","MliC family protein","10","10","1","1","5861","","","","341","341","341","bff5be9a05af26abf8b302cd0b3f69e2_1125","f1bc4d4512a19bd29d7991c343d79c7a_6803","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9464","e1e193540533662714034fbaf73f5d6e_1146","fbf66bbada04254cb1d7db6bed85cec5_1915","8fa835bf467b60db460d3f086747dc57_1169","d1676fa9fd9af43d40bcc74e7f0aec45_1229","9a62a93745f59da1e1aa95775073ed22_4604","252ccf95a1f36013216e1b90c752981b_1156","71007f8b45df3e0a6853be2ecfd5b6f2_1243"
"WP_016852401.1","","HAD family hydrolase","10","10","1","1","5869","","","","674","695","690","bff5be9a05af26abf8b302cd0b3f69e2_1139","f1bc4d4512a19bd29d7991c343d79c7a_6817","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9450","e1e193540533662714034fbaf73f5d6e_1160","fbf66bbada04254cb1d7db6bed85cec5_1931","8fa835bf467b60db460d3f086747dc57_1183","d1676fa9fd9af43d40bcc74e7f0aec45_1243","9a62a93745f59da1e1aa95775073ed22_4618","252ccf95a1f36013216e1b90c752981b_1173","71007f8b45df3e0a6853be2ecfd5b6f2_1257"
"WP_003084991.1","","hypothetical protein","10","10","1","1","5875","","","","458","458","458","bff5be9a05af26abf8b302cd0b3f69e2_1151","f1bc4d4512a19bd29d7991c343d79c7a_6829","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9438","e1e193540533662714034fbaf73f5d6e_1172","fbf66bbada04254cb1d7db6bed85cec5_1943","8fa835bf467b60db460d3f086747dc57_1195","d1676fa9fd9af43d40bcc74e7f0aec45_1255","9a62a93745f59da1e1aa95775073ed22_4630","252ccf95a1f36013216e1b90c752981b_1185","71007f8b45df3e0a6853be2ecfd5b6f2_1269"
"WP_003113222.1","","SMI1/KNR4 family protein","10","10","1","1","5877","","","","347","347","347","bff5be9a05af26abf8b302cd0b3f69e2_1155","f1bc4d4512a19bd29d7991c343d79c7a_6833","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9434","e1e193540533662714034fbaf73f5d6e_1176","fbf66bbada04254cb1d7db6bed85cec5_1947","8fa835bf467b60db460d3f086747dc57_1199","d1676fa9fd9af43d40bcc74e7f0aec45_1259","9a62a93745f59da1e1aa95775073ed22_4634","252ccf95a1f36013216e1b90c752981b_1189","71007f8b45df3e0a6853be2ecfd5b6f2_1273"
"WP_003085071.1","","DUF4136 domain-containing protein","10","10","1","1","5959","","","","506","506","506","bff5be9a05af26abf8b302cd0b3f69e2_1192","f1bc4d4512a19bd29d7991c343d79c7a_6868","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9293","e1e193540533662714034fbaf73f5d6e_1213","fbf66bbada04254cb1d7db6bed85cec5_2001","8fa835bf467b60db460d3f086747dc57_1236","d1676fa9fd9af43d40bcc74e7f0aec45_1300","9a62a93745f59da1e1aa95775073ed22_4681","252ccf95a1f36013216e1b90c752981b_1222","71007f8b45df3e0a6853be2ecfd5b6f2_1312"
"WP_003118907.1","","hypothetical protein","10","10","1","1","5991","","","","359","359","359","bff5be9a05af26abf8b302cd0b3f69e2_1248","f1bc4d4512a19bd29d7991c343d79c7a_6924","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9237","e1e193540533662714034fbaf73f5d6e_1269","fbf66bbada04254cb1d7db6bed85cec5_2059","8fa835bf467b60db460d3f086747dc57_1298","d1676fa9fd9af43d40bcc74e7f0aec45_1358","9a62a93745f59da1e1aa95775073ed22_4739","252ccf95a1f36013216e1b90c752981b_1282","71007f8b45df3e0a6853be2ecfd5b6f2_1472"
"WP_003110987.1","","DUF1127 domain-containing protein","10","10","1","1","9661","","","","233","314","265","bff5be9a05af26abf8b302cd0b3f69e2_4342","f1bc4d4512a19bd29d7991c343d79c7a_9980","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6040","e1e193540533662714034fbaf73f5d6e_4352","fbf66bbada04254cb1d7db6bed85cec5_5497","8fa835bf467b60db460d3f086747dc57_4590","d1676fa9fd9af43d40bcc74e7f0aec45_4577","9a62a93745f59da1e1aa95775073ed22_7827","252ccf95a1f36013216e1b90c752981b_6065","71007f8b45df3e0a6853be2ecfd5b6f2_4831"
"WP_023086938.1","","PepSY domain-containing protein","10","10","1","1","5162","","","","1385","1505","1493","bff5be9a05af26abf8b302cd0b3f69e2_1476","f1bc4d4512a19bd29d7991c343d79c7a_7148","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9009","e1e193540533662714034fbaf73f5d6e_1497","fbf66bbada04254cb1d7db6bed85cec5_2293","8fa835bf467b60db460d3f086747dc57_1532","d1676fa9fd9af43d40bcc74e7f0aec45_1592","9a62a93745f59da1e1aa95775073ed22_4991","252ccf95a1f36013216e1b90c752981b_9035","71007f8b45df3e0a6853be2ecfd5b6f2_1726"
"WP_003142876.1","","flavin-dependent oxidoreductase","10","10","1","1","5160","","","","1208","1209","1208","bff5be9a05af26abf8b302cd0b3f69e2_1480","f1bc4d4512a19bd29d7991c343d79c7a_7152","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9005","e1e193540533662714034fbaf73f5d6e_1501","fbf66bbada04254cb1d7db6bed85cec5_2297","8fa835bf467b60db460d3f086747dc57_1536","d1676fa9fd9af43d40bcc74e7f0aec45_1596","9a62a93745f59da1e1aa95775073ed22_4995","252ccf95a1f36013216e1b90c752981b_9031","71007f8b45df3e0a6853be2ecfd5b6f2_1730"
"WP_003093617.1","","phenazine-specific methyltransferase","10","10","1","1","5151","","","","971","1004","1000","bff5be9a05af26abf8b302cd0b3f69e2_1496","f1bc4d4512a19bd29d7991c343d79c7a_7168","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8989","e1e193540533662714034fbaf73f5d6e_1517","fbf66bbada04254cb1d7db6bed85cec5_2315","8fa835bf467b60db460d3f086747dc57_1554","d1676fa9fd9af43d40bcc74e7f0aec45_1614","9a62a93745f59da1e1aa95775073ed22_5011","252ccf95a1f36013216e1b90c752981b_9012","71007f8b45df3e0a6853be2ecfd5b6f2_1746"
"WP_003090604.1","","hypothetical protein","10","10","1","1","8375","","","","278","278","278","bff5be9a05af26abf8b302cd0b3f69e2_4629","f1bc4d4512a19bd29d7991c343d79c7a_10300","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5754","e1e193540533662714034fbaf73f5d6e_4628","fbf66bbada04254cb1d7db6bed85cec5_5809","8fa835bf467b60db460d3f086747dc57_4953","d1676fa9fd9af43d40bcc74e7f0aec45_4956","9a62a93745f59da1e1aa95775073ed22_8405","252ccf95a1f36013216e1b90c752981b_5793","71007f8b45df3e0a6853be2ecfd5b6f2_5313"
"blaPDC","","class C extended-spectrum beta-lactamase PDC-3","10","10","1","1","3134","","","","1193","1194","1193","bff5be9a05af26abf8b302cd0b3f69e2_1694","f1bc4d4512a19bd29d7991c343d79c7a_7366","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8791","e1e193540533662714034fbaf73f5d6e_1645","fbf66bbada04254cb1d7db6bed85cec5_2643","8fa835bf467b60db460d3f086747dc57_1758","d1676fa9fd9af43d40bcc74e7f0aec45_1816","9a62a93745f59da1e1aa95775073ed22_5199","252ccf95a1f36013216e1b90c752981b_8803","71007f8b45df3e0a6853be2ecfd5b6f2_1936"
"WP_003101293.1","","hypothetical protein","10","10","1","1","3132","","","","221","221","221","bff5be9a05af26abf8b302cd0b3f69e2_1698","f1bc4d4512a19bd29d7991c343d79c7a_7370","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8787","e1e193540533662714034fbaf73f5d6e_1649","fbf66bbada04254cb1d7db6bed85cec5_2647","8fa835bf467b60db460d3f086747dc57_1762","d1676fa9fd9af43d40bcc74e7f0aec45_1820","9a62a93745f59da1e1aa95775073ed22_5203","252ccf95a1f36013216e1b90c752981b_8798","71007f8b45df3e0a6853be2ecfd5b6f2_1940"
"WP_003118211.1","","2,3-butanediol dehydrogenase","10","10","1","1","3125","","","","1058","1060","1058","bff5be9a05af26abf8b302cd0b3f69e2_1724","f1bc4d4512a19bd29d7991c343d79c7a_7396","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8761","e1e193540533662714034fbaf73f5d6e_1663","fbf66bbada04254cb1d7db6bed85cec5_2673","8fa835bf467b60db460d3f086747dc57_1788","d1676fa9fd9af43d40bcc74e7f0aec45_1834","9a62a93745f59da1e1aa95775073ed22_5217","252ccf95a1f36013216e1b90c752981b_8774","71007f8b45df3e0a6853be2ecfd5b6f2_1954"
"WP_003111033.1","","molybdenum cofactor biosynthesis protein F","10","10","1","1","3112","","","","824","824","824","bff5be9a05af26abf8b302cd0b3f69e2_1744","f1bc4d4512a19bd29d7991c343d79c7a_7422","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8735","e1e193540533662714034fbaf73f5d6e_1683","fbf66bbada04254cb1d7db6bed85cec5_2699","8fa835bf467b60db460d3f086747dc57_1808","d1676fa9fd9af43d40bcc74e7f0aec45_1860","9a62a93745f59da1e1aa95775073ed22_5237","252ccf95a1f36013216e1b90c752981b_8754","71007f8b45df3e0a6853be2ecfd5b6f2_1980"
"WP_023094517.1","","type 1 fimbrial protein","10","10","1","1","3106","","","","1145","1145","1145","bff5be9a05af26abf8b302cd0b3f69e2_1756","f1bc4d4512a19bd29d7991c343d79c7a_7434","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8723","e1e193540533662714034fbaf73f5d6e_1695","fbf66bbada04254cb1d7db6bed85cec5_2711","8fa835bf467b60db460d3f086747dc57_1820","d1676fa9fd9af43d40bcc74e7f0aec45_1872","9a62a93745f59da1e1aa95775073ed22_5249","252ccf95a1f36013216e1b90c752981b_8742","71007f8b45df3e0a6853be2ecfd5b6f2_1992"
"WP_034019932.1","","non-ribosomal peptide synthetase","10","10","1","1","3103","","","","2975","2975","2975","bff5be9a05af26abf8b302cd0b3f69e2_1762","f1bc4d4512a19bd29d7991c343d79c7a_7440","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8717","e1e193540533662714034fbaf73f5d6e_1701","fbf66bbada04254cb1d7db6bed85cec5_2717","8fa835bf467b60db460d3f086747dc57_1826","d1676fa9fd9af43d40bcc74e7f0aec45_1878","9a62a93745f59da1e1aa95775073ed22_5255","252ccf95a1f36013216e1b90c752981b_8736","71007f8b45df3e0a6853be2ecfd5b6f2_1998"
"WP_003142991.1","","hypothetical protein","10","10","1","1","3101","","","","374","374","374","bff5be9a05af26abf8b302cd0b3f69e2_1766","f1bc4d4512a19bd29d7991c343d79c7a_7444","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8713","e1e193540533662714034fbaf73f5d6e_1705","fbf66bbada04254cb1d7db6bed85cec5_2721","8fa835bf467b60db460d3f086747dc57_1830","d1676fa9fd9af43d40bcc74e7f0aec45_1882","9a62a93745f59da1e1aa95775073ed22_5259","252ccf95a1f36013216e1b90c752981b_8732","71007f8b45df3e0a6853be2ecfd5b6f2_2002"
"WP_003105260.1","","DUF3156 family protein","10","10","1","1","3096","","","","578","578","578","bff5be9a05af26abf8b302cd0b3f69e2_1776","f1bc4d4512a19bd29d7991c343d79c7a_7454","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8703","e1e193540533662714034fbaf73f5d6e_1715","fbf66bbada04254cb1d7db6bed85cec5_2731","8fa835bf467b60db460d3f086747dc57_1840","d1676fa9fd9af43d40bcc74e7f0aec45_1892","9a62a93745f59da1e1aa95775073ed22_5269","252ccf95a1f36013216e1b90c752981b_8722","71007f8b45df3e0a6853be2ecfd5b6f2_2012"
"WP_003105273.1","","hypothetical protein","10","10","1","1","3087","","","","356","356","356","bff5be9a05af26abf8b302cd0b3f69e2_1796","f1bc4d4512a19bd29d7991c343d79c7a_7474","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8683","e1e193540533662714034fbaf73f5d6e_1735","fbf66bbada04254cb1d7db6bed85cec5_2751","8fa835bf467b60db460d3f086747dc57_1860","d1676fa9fd9af43d40bcc74e7f0aec45_1912","9a62a93745f59da1e1aa95775073ed22_5289","252ccf95a1f36013216e1b90c752981b_8704","71007f8b45df3e0a6853be2ecfd5b6f2_2032"
"trxA","","thioredoxin","10","10","1","1","3086","","","","869","870","869","bff5be9a05af26abf8b302cd0b3f69e2_1798","f1bc4d4512a19bd29d7991c343d79c7a_7476","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8681","e1e193540533662714034fbaf73f5d6e_1737","fbf66bbada04254cb1d7db6bed85cec5_2753","8fa835bf467b60db460d3f086747dc57_1862","d1676fa9fd9af43d40bcc74e7f0aec45_1914","9a62a93745f59da1e1aa95775073ed22_5291","252ccf95a1f36013216e1b90c752981b_8702","71007f8b45df3e0a6853be2ecfd5b6f2_2034"
"WP_003113049.1","","methyltransferase","10","10","1","1","3085","","","","278","662","623","bff5be9a05af26abf8b302cd0b3f69e2_1800","f1bc4d4512a19bd29d7991c343d79c7a_7478","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8679","e1e193540533662714034fbaf73f5d6e_1739","fbf66bbada04254cb1d7db6bed85cec5_2755","8fa835bf467b60db460d3f086747dc57_1864","d1676fa9fd9af43d40bcc74e7f0aec45_1916","9a62a93745f59da1e1aa95775073ed22_5293","252ccf95a1f36013216e1b90c752981b_8700","71007f8b45df3e0a6853be2ecfd5b6f2_2036"
"WP_003114915.1","","geranyltranstransferase","10","10","1","1","3068","","","","887","888","887","bff5be9a05af26abf8b302cd0b3f69e2_1833","f1bc4d4512a19bd29d7991c343d79c7a_7511","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8646","e1e193540533662714034fbaf73f5d6e_1772","fbf66bbada04254cb1d7db6bed85cec5_2790","8fa835bf467b60db460d3f086747dc57_1899","d1676fa9fd9af43d40bcc74e7f0aec45_1951","9a62a93745f59da1e1aa95775073ed22_5326","252ccf95a1f36013216e1b90c752981b_8669","71007f8b45df3e0a6853be2ecfd5b6f2_2069"
"WP_003093283.1","","exodeoxyribonuclease VII small subunit","10","10","1","1","3067","","","","242","269","244","bff5be9a05af26abf8b302cd0b3f69e2_1835","f1bc4d4512a19bd29d7991c343d79c7a_7513","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8644","e1e193540533662714034fbaf73f5d6e_1774","fbf66bbada04254cb1d7db6bed85cec5_2792","8fa835bf467b60db460d3f086747dc57_1901","d1676fa9fd9af43d40bcc74e7f0aec45_1953","9a62a93745f59da1e1aa95775073ed22_5328","252ccf95a1f36013216e1b90c752981b_8667","71007f8b45df3e0a6853be2ecfd5b6f2_2071"
"WP_003118239.1","","mandelate racemase/muconate lactonizing enzyme family protein","10","10","1","1","3066","","","","1167","1169","1168","bff5be9a05af26abf8b302cd0b3f69e2_1837","f1bc4d4512a19bd29d7991c343d79c7a_7515","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8642","e1e193540533662714034fbaf73f5d6e_1776","fbf66bbada04254cb1d7db6bed85cec5_2794","8fa835bf467b60db460d3f086747dc57_1903","d1676fa9fd9af43d40bcc74e7f0aec45_1955","9a62a93745f59da1e1aa95775073ed22_5330","252ccf95a1f36013216e1b90c752981b_8665","71007f8b45df3e0a6853be2ecfd5b6f2_2073"
"WP_003102810.1","","DUF4340 domain-containing protein","10","10","1","1","3065","","","","1007","1007","1007","bff5be9a05af26abf8b302cd0b3f69e2_1839","f1bc4d4512a19bd29d7991c343d79c7a_7517","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8640","e1e193540533662714034fbaf73f5d6e_1778","fbf66bbada04254cb1d7db6bed85cec5_2796","8fa835bf467b60db460d3f086747dc57_1905","d1676fa9fd9af43d40bcc74e7f0aec45_1957","9a62a93745f59da1e1aa95775073ed22_5332","252ccf95a1f36013216e1b90c752981b_8663","71007f8b45df3e0a6853be2ecfd5b6f2_2075"
"WP_003114912.1","","hypothetical protein","10","10","1","1","3064","","","","1802","1802","1802","bff5be9a05af26abf8b302cd0b3f69e2_1841","f1bc4d4512a19bd29d7991c343d79c7a_7519","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8638","e1e193540533662714034fbaf73f5d6e_1780","fbf66bbada04254cb1d7db6bed85cec5_2798","8fa835bf467b60db460d3f086747dc57_1907","d1676fa9fd9af43d40bcc74e7f0aec45_1959","9a62a93745f59da1e1aa95775073ed22_5334","252ccf95a1f36013216e1b90c752981b_8661","71007f8b45df3e0a6853be2ecfd5b6f2_2077"
"mucE","","hypothetical protein","10","10","1","1","3058","","","","268","269","268","bff5be9a05af26abf8b302cd0b3f69e2_1853","f1bc4d4512a19bd29d7991c343d79c7a_7531","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8626","e1e193540533662714034fbaf73f5d6e_1792","fbf66bbada04254cb1d7db6bed85cec5_2810","8fa835bf467b60db460d3f086747dc57_1919","d1676fa9fd9af43d40bcc74e7f0aec45_1971","9a62a93745f59da1e1aa95775073ed22_5346","252ccf95a1f36013216e1b90c752981b_8649","71007f8b45df3e0a6853be2ecfd5b6f2_2089"
"ppa","","inorganic diphosphatase","10","10","1","1","3056","","","","526","527","526","bff5be9a05af26abf8b302cd0b3f69e2_1857","f1bc4d4512a19bd29d7991c343d79c7a_7535","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8622","e1e193540533662714034fbaf73f5d6e_1796","fbf66bbada04254cb1d7db6bed85cec5_2814","8fa835bf467b60db460d3f086747dc57_1923","d1676fa9fd9af43d40bcc74e7f0aec45_1975","9a62a93745f59da1e1aa95775073ed22_5350","252ccf95a1f36013216e1b90c752981b_8644","71007f8b45df3e0a6853be2ecfd5b6f2_2093"
"WP_003118249.1","","C13 family peptidase","10","10","1","1","3041","","","","1673","1739","1732","bff5be9a05af26abf8b302cd0b3f69e2_1887","f1bc4d4512a19bd29d7991c343d79c7a_7565","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8592","e1e193540533662714034fbaf73f5d6e_1826","fbf66bbada04254cb1d7db6bed85cec5_2844","8fa835bf467b60db460d3f086747dc57_1953","d1676fa9fd9af43d40bcc74e7f0aec45_2005","9a62a93745f59da1e1aa95775073ed22_5380","252ccf95a1f36013216e1b90c752981b_8613","71007f8b45df3e0a6853be2ecfd5b6f2_2123"
"WP_003100294.1","","CidA/LrgA family protein","10","10","1","1","3039","","","","362","410","366","bff5be9a05af26abf8b302cd0b3f69e2_1891","f1bc4d4512a19bd29d7991c343d79c7a_7569","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8588","e1e193540533662714034fbaf73f5d6e_1830","fbf66bbada04254cb1d7db6bed85cec5_2848","8fa835bf467b60db460d3f086747dc57_1957","d1676fa9fd9af43d40bcc74e7f0aec45_2009","9a62a93745f59da1e1aa95775073ed22_5384","252ccf95a1f36013216e1b90c752981b_8609","71007f8b45df3e0a6853be2ecfd5b6f2_2127"
"WP_003119193.1","","alpha/beta fold hydrolase","10","10","1","1","3033","","","","1223","1223","1223","bff5be9a05af26abf8b302cd0b3f69e2_1903","f1bc4d4512a19bd29d7991c343d79c7a_7581","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8576","e1e193540533662714034fbaf73f5d6e_1842","fbf66bbada04254cb1d7db6bed85cec5_2860","8fa835bf467b60db460d3f086747dc57_1969","d1676fa9fd9af43d40bcc74e7f0aec45_2021","9a62a93745f59da1e1aa95775073ed22_5396","252ccf95a1f36013216e1b90c752981b_8597","71007f8b45df3e0a6853be2ecfd5b6f2_2139"
