"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","M16808_2","NCTC11902_2","NCTC12977_2","NCTC13276_2","NCTC7465_2","NCTC7466_2","OXC141_2","R6_2","SNP994038_2","SNP994039_2"
"WP_000941426.1","","branched-chain amino acid ABC transporter permease","10","10","1","1","2225","","","","869","869","869","4e0ebb2f352ce5f77c4dc810bc08f662_2611","5304d155c86e7e0505652cd3398fab91_1397","c9f86137e46aba7d7655704f281d0e42_446","d85e8842589287b51ccafc8c2ab682fd_1317","72423b0a20e1eaaa23e55b78118edd99_4012","0983e9ef5d2d51f2c7fe65caad871066_1331","071df2bd90ec8224320f416a082a7ee2_1413","f80477e6bb8d2c709ffd872956318dda_1416","29d2a391aac6e81216e86f42a012931d_1625","4903566b198540aa48641e5fce1361b3_1625"
"ply","","cholesterol-dependent cytolysin pneumolysin","10","10","1","1","659","","","","1415","1415","1415","4e0ebb2f352ce5f77c4dc810bc08f662_472","5304d155c86e7e0505652cd3398fab91_3646","c9f86137e46aba7d7655704f281d0e42_2691","d85e8842589287b51ccafc8c2ab682fd_3516","72423b0a20e1eaaa23e55b78118edd99_1765","0983e9ef5d2d51f2c7fe65caad871066_3530","071df2bd90ec8224320f416a082a7ee2_3642","f80477e6bb8d2c709ffd872956318dda_3730","29d2a391aac6e81216e86f42a012931d_4197","4903566b198540aa48641e5fce1361b3_4197"
"group_1861","rlmD","23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD","10","10","1","1","634","","","","1355","1355","1355","4e0ebb2f352ce5f77c4dc810bc08f662_432","5304d155c86e7e0505652cd3398fab91_3606","c9f86137e46aba7d7655704f281d0e42_2651","d85e8842589287b51ccafc8c2ab682fd_3476","72423b0a20e1eaaa23e55b78118edd99_1807","0983e9ef5d2d51f2c7fe65caad871066_3490","071df2bd90ec8224320f416a082a7ee2_3598","f80477e6bb8d2c709ffd872956318dda_3688","29d2a391aac6e81216e86f42a012931d_4143","4903566b198540aa48641e5fce1361b3_4143"
"WP_000743809.1","","polyprenyl synthetase family protein","10","10","1","1","288","","","","875","875","875","4e0ebb2f352ce5f77c4dc810bc08f662_3458","5304d155c86e7e0505652cd3398fab91_2293","c9f86137e46aba7d7655704f281d0e42_1301","d85e8842589287b51ccafc8c2ab682fd_2168","72423b0a20e1eaaa23e55b78118edd99_3176","0983e9ef5d2d51f2c7fe65caad871066_2182","071df2bd90ec8224320f416a082a7ee2_2292","f80477e6bb8d2c709ffd872956318dda_2306","29d2a391aac6e81216e86f42a012931d_2614","4903566b198540aa48641e5fce1361b3_2614"
"sufC","","Fe-S cluster assembly ATPase SufC","10","10","1","1","1380","","","","770","770","770","4e0ebb2f352ce5f77c4dc810bc08f662_2824","5304d155c86e7e0505652cd3398fab91_1624","c9f86137e46aba7d7655704f281d0e42_659","d85e8842589287b51ccafc8c2ab682fd_1534","72423b0a20e1eaaa23e55b78118edd99_3799","0983e9ef5d2d51f2c7fe65caad871066_1548","071df2bd90ec8224320f416a082a7ee2_1626","f80477e6bb8d2c709ffd872956318dda_1648","29d2a391aac6e81216e86f42a012931d_1867","4903566b198540aa48641e5fce1361b3_1867"
"WP_000088780.1","","saccharopine dehydrogenase family protein","10","10","1","1","1436","","","","1259","1259","1259","4e0ebb2f352ce5f77c4dc810bc08f662_2932","5304d155c86e7e0505652cd3398fab91_1726","c9f86137e46aba7d7655704f281d0e42_767","d85e8842589287b51ccafc8c2ab682fd_1634","72423b0a20e1eaaa23e55b78118edd99_3701","0983e9ef5d2d51f2c7fe65caad871066_1648","071df2bd90ec8224320f416a082a7ee2_1736","f80477e6bb8d2c709ffd872956318dda_1759","29d2a391aac6e81216e86f42a012931d_2010","4903566b198540aa48641e5fce1361b3_2010"
"WP_001180974.1","","penicillin-binding protein","10","10","1","1","1106","","","","2465","2465","2465","4e0ebb2f352ce5f77c4dc810bc08f662_907","5304d155c86e7e0505652cd3398fab91_4057","c9f86137e46aba7d7655704f281d0e42_3126","d85e8842589287b51ccafc8c2ab682fd_3937","72423b0a20e1eaaa23e55b78118edd99_1350","0983e9ef5d2d51f2c7fe65caad871066_3951","071df2bd90ec8224320f416a082a7ee2_4049","f80477e6bb8d2c709ffd872956318dda_4168","29d2a391aac6e81216e86f42a012931d_4647","4903566b198540aa48641e5fce1361b3_4647"
"WP_000422599.1","","YihA family ribosome biogenesis GTP-binding protein","10","10","1","1","1224","","","","587","587","587","4e0ebb2f352ce5f77c4dc810bc08f662_4108","5304d155c86e7e0505652cd3398fab91_2949","c9f86137e46aba7d7655704f281d0e42_1965","d85e8842589287b51ccafc8c2ab682fd_2827","72423b0a20e1eaaa23e55b78118edd99_2523","0983e9ef5d2d51f2c7fe65caad871066_2841","071df2bd90ec8224320f416a082a7ee2_2911","f80477e6bb8d2c709ffd872956318dda_3002","29d2a391aac6e81216e86f42a012931d_3326","4903566b198540aa48641e5fce1361b3_3326"
"WP_000915286.1","","ECF transporter S component","10","10","1","1","2257","","","","560","560","560","4e0ebb2f352ce5f77c4dc810bc08f662_2532","5304d155c86e7e0505652cd3398fab91_1340","c9f86137e46aba7d7655704f281d0e42_367","d85e8842589287b51ccafc8c2ab682fd_1262","72423b0a20e1eaaa23e55b78118edd99_4067","0983e9ef5d2d51f2c7fe65caad871066_1276","071df2bd90ec8224320f416a082a7ee2_1358","f80477e6bb8d2c709ffd872956318dda_1357","29d2a391aac6e81216e86f42a012931d_1559","4903566b198540aa48641e5fce1361b3_1559"
"WP_000640493.1","","glycoside hydrolase family 125 protein","10","10","1","1","511","","","","1280","1280","1280","4e0ebb2f352ce5f77c4dc810bc08f662_1001","5304d155c86e7e0505652cd3398fab91_4170","c9f86137e46aba7d7655704f281d0e42_3220","d85e8842589287b51ccafc8c2ab682fd_4025","72423b0a20e1eaaa23e55b78118edd99_1268","0983e9ef5d2d51f2c7fe65caad871066_4039","071df2bd90ec8224320f416a082a7ee2_4133","f80477e6bb8d2c709ffd872956318dda_4264","29d2a391aac6e81216e86f42a012931d_4770","4903566b198540aa48641e5fce1361b3_4770"
"radC","","DNA repair protein RadC","10","10","1","1","316","","","","680","680","680","4e0ebb2f352ce5f77c4dc810bc08f662_3271","5304d155c86e7e0505652cd3398fab91_2082","c9f86137e46aba7d7655704f281d0e42_1112","d85e8842589287b51ccafc8c2ab682fd_1988","72423b0a20e1eaaa23e55b78118edd99_3198","0983e9ef5d2d51f2c7fe65caad871066_1943","071df2bd90ec8224320f416a082a7ee2_2108","f80477e6bb8d2c709ffd872956318dda_2117","29d2a391aac6e81216e86f42a012931d_2400","4903566b198540aa48641e5fce1361b3_2400"
"WP_000524772.1","","acyl-[acyl-carrier-protein] thioesterase","10","10","1","1","1916","","","","737","737","737","4e0ebb2f352ce5f77c4dc810bc08f662_3828","5304d155c86e7e0505652cd3398fab91_2642","c9f86137e46aba7d7655704f281d0e42_1683","d85e8842589287b51ccafc8c2ab682fd_2527","72423b0a20e1eaaa23e55b78118edd99_2825","0983e9ef5d2d51f2c7fe65caad871066_2541","071df2bd90ec8224320f416a082a7ee2_2617","f80477e6bb8d2c709ffd872956318dda_2686","29d2a391aac6e81216e86f42a012931d_2988","4903566b198540aa48641e5fce1361b3_2988"
"pulA","","type I pullulanase","10","10","1","1","1967","","","","2279","2279","2279","4e0ebb2f352ce5f77c4dc810bc08f662_3326","5304d155c86e7e0505652cd3398fab91_2135","c9f86137e46aba7d7655704f281d0e42_1167","d85e8842589287b51ccafc8c2ab682fd_2043","72423b0a20e1eaaa23e55b78118edd99_3253","0983e9ef5d2d51f2c7fe65caad871066_1888","071df2bd90ec8224320f416a082a7ee2_2163","f80477e6bb8d2c709ffd872956318dda_2174","29d2a391aac6e81216e86f42a012931d_2461","4903566b198540aa48641e5fce1361b3_2461"
"WP_000259256.1","","rhodanese-like domain-containing protein","10","10","1","1","2289","","","","380","380","380","4e0ebb2f352ce5f77c4dc810bc08f662_2470","5304d155c86e7e0505652cd3398fab91_1280","c9f86137e46aba7d7655704f281d0e42_305","d85e8842589287b51ccafc8c2ab682fd_1194","72423b0a20e1eaaa23e55b78118edd99_4123","0983e9ef5d2d51f2c7fe65caad871066_1208","071df2bd90ec8224320f416a082a7ee2_1298","f80477e6bb8d2c709ffd872956318dda_1285","29d2a391aac6e81216e86f42a012931d_1492","4903566b198540aa48641e5fce1361b3_1492"
"WP_000617843.1","","TIGR03943 family protein","10","10","1","1","1418","","","","815","815","815","4e0ebb2f352ce5f77c4dc810bc08f662_2904","5304d155c86e7e0505652cd3398fab91_1702","c9f86137e46aba7d7655704f281d0e42_739","d85e8842589287b51ccafc8c2ab682fd_1604","72423b0a20e1eaaa23e55b78118edd99_3731","0983e9ef5d2d51f2c7fe65caad871066_1618","071df2bd90ec8224320f416a082a7ee2_1706","f80477e6bb8d2c709ffd872956318dda_1727","29d2a391aac6e81216e86f42a012931d_1969","4903566b198540aa48641e5fce1361b3_1969"
"WP_000833266.1","","two-component sensor histidine kinase","10","10","1","1","1091","","","","1331","1331","1331","4e0ebb2f352ce5f77c4dc810bc08f662_875","5304d155c86e7e0505652cd3398fab91_4027","c9f86137e46aba7d7655704f281d0e42_3094","d85e8842589287b51ccafc8c2ab682fd_3907","72423b0a20e1eaaa23e55b78118edd99_1384","0983e9ef5d2d51f2c7fe65caad871066_3921","071df2bd90ec8224320f416a082a7ee2_4019","f80477e6bb8d2c709ffd872956318dda_4138","29d2a391aac6e81216e86f42a012931d_4617","4903566b198540aa48641e5fce1361b3_4617"
"WP_000885107.1","","N-acetyldiaminopimelate deacetylase","10","10","1","1","1103","","","","1130","1130","1130","4e0ebb2f352ce5f77c4dc810bc08f662_901","5304d155c86e7e0505652cd3398fab91_4051","c9f86137e46aba7d7655704f281d0e42_3120","d85e8842589287b51ccafc8c2ab682fd_3931","72423b0a20e1eaaa23e55b78118edd99_1356","0983e9ef5d2d51f2c7fe65caad871066_3945","071df2bd90ec8224320f416a082a7ee2_4043","f80477e6bb8d2c709ffd872956318dda_4162","29d2a391aac6e81216e86f42a012931d_4641","4903566b198540aa48641e5fce1361b3_4641"
"WP_001809382.1","","transcription antiterminator","10","10","1","1","593","","","","1673","1673","1673","4e0ebb2f352ce5f77c4dc810bc08f662_707","5304d155c86e7e0505652cd3398fab91_3881","c9f86137e46aba7d7655704f281d0e42_2926","d85e8842589287b51ccafc8c2ab682fd_3761","72423b0a20e1eaaa23e55b78118edd99_1530","0983e9ef5d2d51f2c7fe65caad871066_3775","071df2bd90ec8224320f416a082a7ee2_3873","f80477e6bb8d2c709ffd872956318dda_3991","29d2a391aac6e81216e86f42a012931d_4466","4903566b198540aa48641e5fce1361b3_4466"
"carA","","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","10","10","1","1","229","","","","1079","1079","1079","4e0ebb2f352ce5f77c4dc810bc08f662_3583","5304d155c86e7e0505652cd3398fab91_2418","c9f86137e46aba7d7655704f281d0e42_1426","d85e8842589287b51ccafc8c2ab682fd_2301","72423b0a20e1eaaa23e55b78118edd99_3045","0983e9ef5d2d51f2c7fe65caad871066_2315","071df2bd90ec8224320f416a082a7ee2_2417","f80477e6bb8d2c709ffd872956318dda_2449","29d2a391aac6e81216e86f42a012931d_2761","4903566b198540aa48641e5fce1361b3_2761"
"WP_001224760.1","","serine hydrolase","10","10","1","1","2647","","","","1268","1268","1268","4e0ebb2f352ce5f77c4dc810bc08f662_1211","5304d155c86e7e0505652cd3398fab91_71","c9f86137e46aba7d7655704f281d0e42_3432","d85e8842589287b51ccafc8c2ab682fd_19","72423b0a20e1eaaa23e55b78118edd99_1056","0983e9ef5d2d51f2c7fe65caad871066_19","071df2bd90ec8224320f416a082a7ee2_19","f80477e6bb8d2c709ffd872956318dda_19","29d2a391aac6e81216e86f42a012931d_19","4903566b198540aa48641e5fce1361b3_19"
"WP_000795191.1","","bacterial Ig-like domain-containing protein","10","10","1","1","1521","","","","4940","4979","4951","4e0ebb2f352ce5f77c4dc810bc08f662_2170","5304d155c86e7e0505652cd3398fab91_948","c9f86137e46aba7d7655704f281d0e42_4391","d85e8842589287b51ccafc8c2ab682fd_898","72423b0a20e1eaaa23e55b78118edd99_51","0983e9ef5d2d51f2c7fe65caad871066_912","071df2bd90ec8224320f416a082a7ee2_982","f80477e6bb8d2c709ffd872956318dda_955","29d2a391aac6e81216e86f42a012931d_1107","4903566b198540aa48641e5fce1361b3_1107"
"WP_001269474.1","","metal ABC transporter ATP-binding protein","10","10","1","1","2726","","","","704","704","704","4e0ebb2f352ce5f77c4dc810bc08f662_1053","5304d155c86e7e0505652cd3398fab91_4224","c9f86137e46aba7d7655704f281d0e42_3272","d85e8842589287b51ccafc8c2ab682fd_4077","72423b0a20e1eaaa23e55b78118edd99_1216","0983e9ef5d2d51f2c7fe65caad871066_4091","071df2bd90ec8224320f416a082a7ee2_4185","f80477e6bb8d2c709ffd872956318dda_4319","29d2a391aac6e81216e86f42a012931d_4832","4903566b198540aa48641e5fce1361b3_4832"
"dltD","","D-alanyl-lipoteichoic acid biosynthesis protein DltD","10","10","1","1","2724","","","","1268","1268","1268","4e0ebb2f352ce5f77c4dc810bc08f662_1057","5304d155c86e7e0505652cd3398fab91_4228","c9f86137e46aba7d7655704f281d0e42_3276","d85e8842589287b51ccafc8c2ab682fd_4081","72423b0a20e1eaaa23e55b78118edd99_1212","0983e9ef5d2d51f2c7fe65caad871066_4095","071df2bd90ec8224320f416a082a7ee2_4189","f80477e6bb8d2c709ffd872956318dda_4323","29d2a391aac6e81216e86f42a012931d_4836","4903566b198540aa48641e5fce1361b3_4836"
"WP_000711391.1","","class I SAM-dependent RNA methyltransferase","10","10","1","1","1783","","","","1157","1157","1157","4e0ebb2f352ce5f77c4dc810bc08f662_1960","5304d155c86e7e0505652cd3398fab91_754","c9f86137e46aba7d7655704f281d0e42_4183","d85e8842589287b51ccafc8c2ab682fd_694","72423b0a20e1eaaa23e55b78118edd99_259","0983e9ef5d2d51f2c7fe65caad871066_708","071df2bd90ec8224320f416a082a7ee2_788","f80477e6bb8d2c709ffd872956318dda_732","29d2a391aac6e81216e86f42a012931d_877","4903566b198540aa48641e5fce1361b3_877"
"WP_001269460.1","","aldo/keto reductase family oxidoreductase","10","10","1","1","1315","","","","926","926","926","4e0ebb2f352ce5f77c4dc810bc08f662_2692","5304d155c86e7e0505652cd3398fab91_1490","c9f86137e46aba7d7655704f281d0e42_527","d85e8842589287b51ccafc8c2ab682fd_1400","72423b0a20e1eaaa23e55b78118edd99_3931","0983e9ef5d2d51f2c7fe65caad871066_1414","071df2bd90ec8224320f416a082a7ee2_1494","f80477e6bb8d2c709ffd872956318dda_1503","29d2a391aac6e81216e86f42a012931d_1718","4903566b198540aa48641e5fce1361b3_1718"
"WP_000742913.1","","ABC transporter ATP-binding protein","10","10","1","1","1897","","","","1157","1157","1157","4e0ebb2f352ce5f77c4dc810bc08f662_3792","5304d155c86e7e0505652cd3398fab91_2604","c9f86137e46aba7d7655704f281d0e42_1647","d85e8842589287b51ccafc8c2ab682fd_2491","72423b0a20e1eaaa23e55b78118edd99_2861","0983e9ef5d2d51f2c7fe65caad871066_2505","071df2bd90ec8224320f416a082a7ee2_2581","f80477e6bb8d2c709ffd872956318dda_2649","29d2a391aac6e81216e86f42a012931d_2951","4903566b198540aa48641e5fce1361b3_2951"
"ilvD","","dihydroxy-acid dehydratase","10","10","1","1","743","","","","1703","1703","1703","4e0ebb2f352ce5f77c4dc810bc08f662_967","5304d155c86e7e0505652cd3398fab91_4113","c9f86137e46aba7d7655704f281d0e42_3186","d85e8842589287b51ccafc8c2ab682fd_3993","72423b0a20e1eaaa23e55b78118edd99_1294","0983e9ef5d2d51f2c7fe65caad871066_4007","071df2bd90ec8224320f416a082a7ee2_4107","f80477e6bb8d2c709ffd872956318dda_4231","29d2a391aac6e81216e86f42a012931d_4740","4903566b198540aa48641e5fce1361b3_4740"
"WP_000477449.1","","PTS transporter subunit EIIC","10","10","1","1","836","","","","1517","1517","1517","4e0ebb2f352ce5f77c4dc810bc08f662_4319","5304d155c86e7e0505652cd3398fab91_3144","c9f86137e46aba7d7655704f281d0e42_2174","d85e8842589287b51ccafc8c2ab682fd_3022","72423b0a20e1eaaa23e55b78118edd99_2338","0983e9ef5d2d51f2c7fe65caad871066_3036","071df2bd90ec8224320f416a082a7ee2_3122","f80477e6bb8d2c709ffd872956318dda_3212","29d2a391aac6e81216e86f42a012931d_3581","4903566b198540aa48641e5fce1361b3_3581"
"WP_000348122.1","","aquaporin family protein","10","10","1","1","1288","","","","869","869","869","4e0ebb2f352ce5f77c4dc810bc08f662_3950","5304d155c86e7e0505652cd3398fab91_2793","c9f86137e46aba7d7655704f281d0e42_1807","d85e8842589287b51ccafc8c2ab682fd_2675","72423b0a20e1eaaa23e55b78118edd99_2679","0983e9ef5d2d51f2c7fe65caad871066_2689","071df2bd90ec8224320f416a082a7ee2_2763","f80477e6bb8d2c709ffd872956318dda_2845","29d2a391aac6e81216e86f42a012931d_3158","4903566b198540aa48641e5fce1361b3_3158"
"rplU","","50S ribosomal protein L21","10","10","1","1","303","","","","314","314","314","4e0ebb2f352ce5f77c4dc810bc08f662_3302","5304d155c86e7e0505652cd3398fab91_2111","c9f86137e46aba7d7655704f281d0e42_1143","d85e8842589287b51ccafc8c2ab682fd_2019","72423b0a20e1eaaa23e55b78118edd99_3229","0983e9ef5d2d51f2c7fe65caad871066_1912","071df2bd90ec8224320f416a082a7ee2_2139","f80477e6bb8d2c709ffd872956318dda_2148","29d2a391aac6e81216e86f42a012931d_2431","4903566b198540aa48641e5fce1361b3_2431"
"rnmV","","ribonuclease M5","10","10","1","1","722","","","","560","560","560","4e0ebb2f352ce5f77c4dc810bc08f662_583","5304d155c86e7e0505652cd3398fab91_3759","c9f86137e46aba7d7655704f281d0e42_2804","d85e8842589287b51ccafc8c2ab682fd_3639","72423b0a20e1eaaa23e55b78118edd99_1652","0983e9ef5d2d51f2c7fe65caad871066_3653","071df2bd90ec8224320f416a082a7ee2_3753","f80477e6bb8d2c709ffd872956318dda_3860","29d2a391aac6e81216e86f42a012931d_4327","4903566b198540aa48641e5fce1361b3_4327"
"xth","","exodeoxyribonuclease III","10","10","1","1","1024","","","","827","827","827","4e0ebb2f352ce5f77c4dc810bc08f662_255","5304d155c86e7e0505652cd3398fab91_3421","c9f86137e46aba7d7655704f281d0e42_2474","d85e8842589287b51ccafc8c2ab682fd_3295","72423b0a20e1eaaa23e55b78118edd99_1992","0983e9ef5d2d51f2c7fe65caad871066_3309","071df2bd90ec8224320f416a082a7ee2_3419","f80477e6bb8d2c709ffd872956318dda_3502","29d2a391aac6e81216e86f42a012931d_3937","4903566b198540aa48641e5fce1361b3_3937"
"xerD","","site-specific tyrosine recombinase XerD","10","10","1","1","987","","","","740","740","740","4e0ebb2f352ce5f77c4dc810bc08f662_318","5304d155c86e7e0505652cd3398fab91_3486","c9f86137e46aba7d7655704f281d0e42_2537","d85e8842589287b51ccafc8c2ab682fd_3360","72423b0a20e1eaaa23e55b78118edd99_1927","0983e9ef5d2d51f2c7fe65caad871066_3374","071df2bd90ec8224320f416a082a7ee2_3484","f80477e6bb8d2c709ffd872956318dda_3570","29d2a391aac6e81216e86f42a012931d_4016","4903566b198540aa48641e5fce1361b3_4016"
"WP_000808709.1","","MFS transporter","10","10","1","1","1196","","","","1151","1151","1151","4e0ebb2f352ce5f77c4dc810bc08f662_4165","5304d155c86e7e0505652cd3398fab91_3006","c9f86137e46aba7d7655704f281d0e42_2020","d85e8842589287b51ccafc8c2ab682fd_2882","72423b0a20e1eaaa23e55b78118edd99_2470","0983e9ef5d2d51f2c7fe65caad871066_2896","071df2bd90ec8224320f416a082a7ee2_2966","f80477e6bb8d2c709ffd872956318dda_3066","29d2a391aac6e81216e86f42a012931d_3397","4903566b198540aa48641e5fce1361b3_3397"
"fabG","","3-oxoacyl-[acyl-carrier-protein] reductase","10","10","1","1","1738","","","","731","731","731","4e0ebb2f352ce5f77c4dc810bc08f662_2049","5304d155c86e7e0505652cd3398fab91_841","c9f86137e46aba7d7655704f281d0e42_4272","d85e8842589287b51ccafc8c2ab682fd_779","72423b0a20e1eaaa23e55b78118edd99_176","0983e9ef5d2d51f2c7fe65caad871066_793","071df2bd90ec8224320f416a082a7ee2_871","f80477e6bb8d2c709ffd872956318dda_826","29d2a391aac6e81216e86f42a012931d_971","4903566b198540aa48641e5fce1361b3_971"
"WP_000830659.1","","FtsW/RodA/SpoVE family cell cycle protein","10","10","1","1","1328","","","","1223","1223","1223","4e0ebb2f352ce5f77c4dc810bc08f662_2718","5304d155c86e7e0505652cd3398fab91_1516","c9f86137e46aba7d7655704f281d0e42_553","d85e8842589287b51ccafc8c2ab682fd_1426","72423b0a20e1eaaa23e55b78118edd99_3907","0983e9ef5d2d51f2c7fe65caad871066_1440","071df2bd90ec8224320f416a082a7ee2_1520","f80477e6bb8d2c709ffd872956318dda_1529","29d2a391aac6e81216e86f42a012931d_1744","4903566b198540aa48641e5fce1361b3_1744"
"WP_000456639.1","","bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II","10","10","1","1","2417","","","","1205","1205","1205","4e0ebb2f352ce5f77c4dc810bc08f662_1616","5304d155c86e7e0505652cd3398fab91_412","c9f86137e46aba7d7655704f281d0e42_3835","d85e8842589287b51ccafc8c2ab682fd_354","72423b0a20e1eaaa23e55b78118edd99_619","0983e9ef5d2d51f2c7fe65caad871066_354","071df2bd90ec8224320f416a082a7ee2_450","f80477e6bb8d2c709ffd872956318dda_376","29d2a391aac6e81216e86f42a012931d_509","4903566b198540aa48641e5fce1361b3_509"
"WP_000200899.1","","HAD family hydrolase","10","10","1","1","2499","","","","632","632","632","4e0ebb2f352ce5f77c4dc810bc08f662_1480","5304d155c86e7e0505652cd3398fab91_272","c9f86137e46aba7d7655704f281d0e42_3703","d85e8842589287b51ccafc8c2ab682fd_212","72423b0a20e1eaaa23e55b78118edd99_751","0983e9ef5d2d51f2c7fe65caad871066_212","071df2bd90ec8224320f416a082a7ee2_304","f80477e6bb8d2c709ffd872956318dda_224","29d2a391aac6e81216e86f42a012931d_356","4903566b198540aa48641e5fce1361b3_356"
"WP_000737921.1","","hypothetical protein","10","10","1","1","1166","","","","413","437","420","4e0ebb2f352ce5f77c4dc810bc08f662_4241","5304d155c86e7e0505652cd3398fab91_3064","c9f86137e46aba7d7655704f281d0e42_2096","d85e8842589287b51ccafc8c2ab682fd_2938","72423b0a20e1eaaa23e55b78118edd99_2414","0983e9ef5d2d51f2c7fe65caad871066_2952","071df2bd90ec8224320f416a082a7ee2_3042","f80477e6bb8d2c709ffd872956318dda_3125","29d2a391aac6e81216e86f42a012931d_3482","4903566b198540aa48641e5fce1361b3_3482"
"WP_000672121.1","","carbohydrate ABC transporter substrate-binding protein","10","10","1","1","835","","","","1328","1328","1328","4e0ebb2f352ce5f77c4dc810bc08f662_4317","5304d155c86e7e0505652cd3398fab91_3142","c9f86137e46aba7d7655704f281d0e42_2172","d85e8842589287b51ccafc8c2ab682fd_3020","72423b0a20e1eaaa23e55b78118edd99_2340","0983e9ef5d2d51f2c7fe65caad871066_3034","071df2bd90ec8224320f416a082a7ee2_3120","f80477e6bb8d2c709ffd872956318dda_3210","29d2a391aac6e81216e86f42a012931d_3579","4903566b198540aa48641e5fce1361b3_3579"
"lepA","","elongation factor 4","10","10","1","1","293","","","","1823","1823","1823","4e0ebb2f352ce5f77c4dc810bc08f662_3448","5304d155c86e7e0505652cd3398fab91_2283","c9f86137e46aba7d7655704f281d0e42_1291","d85e8842589287b51ccafc8c2ab682fd_2158","72423b0a20e1eaaa23e55b78118edd99_3186","0983e9ef5d2d51f2c7fe65caad871066_2172","071df2bd90ec8224320f416a082a7ee2_2282","f80477e6bb8d2c709ffd872956318dda_2296","29d2a391aac6e81216e86f42a012931d_2604","4903566b198540aa48641e5fce1361b3_2604"
"nadE","","ammonia-dependent NAD(+) synthetase","10","10","1","1","1929","","","","824","824","824","4e0ebb2f352ce5f77c4dc810bc08f662_3852","5304d155c86e7e0505652cd3398fab91_2666","c9f86137e46aba7d7655704f281d0e42_1707","d85e8842589287b51ccafc8c2ab682fd_2549","72423b0a20e1eaaa23e55b78118edd99_2801","0983e9ef5d2d51f2c7fe65caad871066_2563","071df2bd90ec8224320f416a082a7ee2_2639","f80477e6bb8d2c709ffd872956318dda_2709","29d2a391aac6e81216e86f42a012931d_3015","4903566b198540aa48641e5fce1361b3_3015"
"WP_000671113.1","","DEAD/DEAH box helicase","10","10","1","1","1208","","","","1574","1574","1574","4e0ebb2f352ce5f77c4dc810bc08f662_4139","5304d155c86e7e0505652cd3398fab91_2984","c9f86137e46aba7d7655704f281d0e42_1998","d85e8842589287b51ccafc8c2ab682fd_2860","72423b0a20e1eaaa23e55b78118edd99_2492","0983e9ef5d2d51f2c7fe65caad871066_2874","071df2bd90ec8224320f416a082a7ee2_2944","f80477e6bb8d2c709ffd872956318dda_3037","29d2a391aac6e81216e86f42a012931d_3367","4903566b198540aa48641e5fce1361b3_3367"
"WP_001162128.1","","flavodoxin","10","10","1","1","208","","","","443","443","443","4e0ebb2f352ce5f77c4dc810bc08f662_3634","5304d155c86e7e0505652cd3398fab91_2461","c9f86137e46aba7d7655704f281d0e42_1479","d85e8842589287b51ccafc8c2ab682fd_2344","72423b0a20e1eaaa23e55b78118edd99_3002","0983e9ef5d2d51f2c7fe65caad871066_2358","071df2bd90ec8224320f416a082a7ee2_2460","f80477e6bb8d2c709ffd872956318dda_2494","29d2a391aac6e81216e86f42a012931d_2806","4903566b198540aa48641e5fce1361b3_2806"
"nusA","","transcription termination/antitermination protein NusA","10","10","1","1","1581","","","","1136","1136","1136","4e0ebb2f352ce5f77c4dc810bc08f662_2240","5304d155c86e7e0505652cd3398fab91_1056","c9f86137e46aba7d7655704f281d0e42_75","d85e8842589287b51ccafc8c2ab682fd_972","72423b0a20e1eaaa23e55b78118edd99_4360","0983e9ef5d2d51f2c7fe65caad871066_986","071df2bd90ec8224320f416a082a7ee2_1070","f80477e6bb8d2c709ffd872956318dda_1033","29d2a391aac6e81216e86f42a012931d_1208","4903566b198540aa48641e5fce1361b3_1208"
"WP_000167765.1","","acetate kinase","10","10","1","1","582","","","","1190","1190","1190","4e0ebb2f352ce5f77c4dc810bc08f662_729","5304d155c86e7e0505652cd3398fab91_3903","c9f86137e46aba7d7655704f281d0e42_2948","d85e8842589287b51ccafc8c2ab682fd_3783","72423b0a20e1eaaa23e55b78118edd99_1508","0983e9ef5d2d51f2c7fe65caad871066_3797","071df2bd90ec8224320f416a082a7ee2_3895","f80477e6bb8d2c709ffd872956318dda_4013","29d2a391aac6e81216e86f42a012931d_4488","4903566b198540aa48641e5fce1361b3_4488"
"WP_000221614.1","","DnaD domain-containing protein","10","10","1","1","1217","","","","677","677","677","4e0ebb2f352ce5f77c4dc810bc08f662_4120","5304d155c86e7e0505652cd3398fab91_2963","c9f86137e46aba7d7655704f281d0e42_1979","d85e8842589287b51ccafc8c2ab682fd_2841","72423b0a20e1eaaa23e55b78118edd99_2511","0983e9ef5d2d51f2c7fe65caad871066_2855","071df2bd90ec8224320f416a082a7ee2_2925","f80477e6bb8d2c709ffd872956318dda_3017","29d2a391aac6e81216e86f42a012931d_3344","4903566b198540aa48641e5fce1361b3_3344"
