"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10430","NCTC10444","NCTC10537","NCTC10973","NCTC11023","NCTC12655","NCTC9008","NCTC9022","NCTC9041","NCTC9054"
"uvrA","","excinuclease ABC subunit UvrA","10","10","1","1","3960","","","","2822","2822","2822","de5d112513ebace038d16be8aa9e1273_207","2000d99c1a4f4644d4dc8bc5f335fcca_9309","8291d5e9ef160a270636991509e0e85c_8212","b1b2c14e5b2eae9d99465ee4aa5d53b7_8285","f95cc3601e9bedf7c0d3dbaf7722b312_8450","81c24e080905d6ecc25e00770222c603_8633","a963e031a0e9d0bd7ea9f5c201bde08a_8574","cf4339b1a0ea8d217cfa00a17e46d961_9201","6f47304ac79aadc337208f6d61504bf4_8412","65f1bac1425e1f84709282b5f5eed1ce_9148"
"WP_001149003.1","","MHS family MFS transporter","10","10","1","1","1196","","","","1322","1322","1322","de5d112513ebace038d16be8aa9e1273_1472","2000d99c1a4f4644d4dc8bc5f335fcca_451","8291d5e9ef160a270636991509e0e85c_436","b1b2c14e5b2eae9d99465ee4aa5d53b7_383","f95cc3601e9bedf7c0d3dbaf7722b312_390","81c24e080905d6ecc25e00770222c603_388","a963e031a0e9d0bd7ea9f5c201bde08a_388","cf4339b1a0ea8d217cfa00a17e46d961_408","6f47304ac79aadc337208f6d61504bf4_414","65f1bac1425e1f84709282b5f5eed1ce_446"
"cysS","","cysteine--tRNA ligase","10","10","1","1","5648","","","","1385","1385","1385","de5d112513ebace038d16be8aa9e1273_8193","2000d99c1a4f4644d4dc8bc5f335fcca_7375","8291d5e9ef160a270636991509e0e85c_6487","b1b2c14e5b2eae9d99465ee4aa5d53b7_6491","f95cc3601e9bedf7c0d3dbaf7722b312_6632","81c24e080905d6ecc25e00770222c603_6587","a963e031a0e9d0bd7ea9f5c201bde08a_6820","cf4339b1a0ea8d217cfa00a17e46d961_7245","6f47304ac79aadc337208f6d61504bf4_6524","65f1bac1425e1f84709282b5f5eed1ce_7268"
"cheY","","chemotaxis protein CheY","10","10","1","1","893","","","","389","389","389","de5d112513ebace038d16be8aa9e1273_5178","2000d99c1a4f4644d4dc8bc5f335fcca_4137","8291d5e9ef160a270636991509e0e85c_3593","b1b2c14e5b2eae9d99465ee4aa5d53b7_3761","f95cc3601e9bedf7c0d3dbaf7722b312_3859","81c24e080905d6ecc25e00770222c603_3733","a963e031a0e9d0bd7ea9f5c201bde08a_3920","cf4339b1a0ea8d217cfa00a17e46d961_4229","6f47304ac79aadc337208f6d61504bf4_3682","65f1bac1425e1f84709282b5f5eed1ce_5816"
"ghxQ","","guanine/hypoxanthine transporter GhxQ","10","10","1","1","325","","","","1367","1367","1367","de5d112513ebace038d16be8aa9e1273_3081","2000d99c1a4f4644d4dc8bc5f335fcca_1922","8291d5e9ef160a270636991509e0e85c_1811","b1b2c14e5b2eae9d99465ee4aa5d53b7_1706","f95cc3601e9bedf7c0d3dbaf7722b312_1762","81c24e080905d6ecc25e00770222c603_1690","a963e031a0e9d0bd7ea9f5c201bde08a_1709","cf4339b1a0ea8d217cfa00a17e46d961_1996","6f47304ac79aadc337208f6d61504bf4_1631","65f1bac1425e1f84709282b5f5eed1ce_1801"
"ispB","","octaprenyl diphosphate synthase","10","10","1","1","1603","","","","971","971","971","de5d112513ebace038d16be8aa9e1273_2181","2000d99c1a4f4644d4dc8bc5f335fcca_1146","8291d5e9ef160a270636991509e0e85c_1107","b1b2c14e5b2eae9d99465ee4aa5d53b7_1056","f95cc3601e9bedf7c0d3dbaf7722b312_1116","81c24e080905d6ecc25e00770222c603_1079","a963e031a0e9d0bd7ea9f5c201bde08a_1059","cf4339b1a0ea8d217cfa00a17e46d961_1111","6f47304ac79aadc337208f6d61504bf4_1087","65f1bac1425e1f84709282b5f5eed1ce_1113"
"lysC","","lysine-sensitive aspartokinase 3","10","10","1","1","3902","","","","1349","1349","1349","de5d112513ebace038d16be8aa9e1273_307","2000d99c1a4f4644d4dc8bc5f335fcca_9383","8291d5e9ef160a270636991509e0e85c_8286","b1b2c14e5b2eae9d99465ee4aa5d53b7_8357","f95cc3601e9bedf7c0d3dbaf7722b312_8522","81c24e080905d6ecc25e00770222c603_8707","a963e031a0e9d0bd7ea9f5c201bde08a_8648","cf4339b1a0ea8d217cfa00a17e46d961_9297","6f47304ac79aadc337208f6d61504bf4_8486","65f1bac1425e1f84709282b5f5eed1ce_9222"
"WP_000347850.1","","acyl-CoA dehydrogenase","10","10","1","1","733","","","","1151","1151","1151","de5d112513ebace038d16be8aa9e1273_5558","2000d99c1a4f4644d4dc8bc5f335fcca_4520","8291d5e9ef160a270636991509e0e85c_3980","b1b2c14e5b2eae9d99465ee4aa5d53b7_4144","f95cc3601e9bedf7c0d3dbaf7722b312_4242","81c24e080905d6ecc25e00770222c603_4116","a963e031a0e9d0bd7ea9f5c201bde08a_4303","cf4339b1a0ea8d217cfa00a17e46d961_4706","6f47304ac79aadc337208f6d61504bf4_4065","65f1bac1425e1f84709282b5f5eed1ce_5402"
"eco","","serine protease inhibitor ecotin","10","10","1","1","2673","","","","488","488","488","de5d112513ebace038d16be8aa9e1273_4332","2000d99c1a4f4644d4dc8bc5f335fcca_3291","8291d5e9ef160a270636991509e0e85c_3044","b1b2c14e5b2eae9d99465ee4aa5d53b7_3024","f95cc3601e9bedf7c0d3dbaf7722b312_3228","81c24e080905d6ecc25e00770222c603_3061","a963e031a0e9d0bd7ea9f5c201bde08a_3098","cf4339b1a0ea8d217cfa00a17e46d961_3444","6f47304ac79aadc337208f6d61504bf4_2975","65f1bac1425e1f84709282b5f5eed1ce_3280"
"slmA","","nucleoid occlusion factor SlmA","10","10","1","1","1038","","","","596","596","596","de5d112513ebace038d16be8aa9e1273_1235","2000d99c1a4f4644d4dc8bc5f335fcca_210","8291d5e9ef160a270636991509e0e85c_173","b1b2c14e5b2eae9d99465ee4aa5d53b7_131","f95cc3601e9bedf7c0d3dbaf7722b312_146","81c24e080905d6ecc25e00770222c603_133","a963e031a0e9d0bd7ea9f5c201bde08a_131","cf4339b1a0ea8d217cfa00a17e46d961_177","6f47304ac79aadc337208f6d61504bf4_167","65f1bac1425e1f84709282b5f5eed1ce_158"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","10","10","1","1","7817","","","","1475","1475","1475","de5d112513ebace038d16be8aa9e1273_9188","2000d99c1a4f4644d4dc8bc5f335fcca_8284","8291d5e9ef160a270636991509e0e85c_7291","b1b2c14e5b2eae9d99465ee4aa5d53b7_7381","f95cc3601e9bedf7c0d3dbaf7722b312_7609","81c24e080905d6ecc25e00770222c603_7730","a963e031a0e9d0bd7ea9f5c201bde08a_7694","cf4339b1a0ea8d217cfa00a17e46d961_8231","6f47304ac79aadc337208f6d61504bf4_7476","65f1bac1425e1f84709282b5f5eed1ce_8139"
"nuoC","","NADH-quinone oxidoreductase subunit C/D","10","10","1","1","2757","","","","1802","1802","1802","de5d112513ebace038d16be8aa9e1273_4186","2000d99c1a4f4644d4dc8bc5f335fcca_3139","8291d5e9ef160a270636991509e0e85c_2897","b1b2c14e5b2eae9d99465ee4aa5d53b7_2862","f95cc3601e9bedf7c0d3dbaf7722b312_3080","81c24e080905d6ecc25e00770222c603_2903","a963e031a0e9d0bd7ea9f5c201bde08a_2952","cf4339b1a0ea8d217cfa00a17e46d961_3300","6f47304ac79aadc337208f6d61504bf4_2819","65f1bac1425e1f84709282b5f5eed1ce_3150"
"nfo","","deoxyribonuclease IV","10","10","1","1","2622","","","","857","857","857","de5d112513ebace038d16be8aa9e1273_4433","2000d99c1a4f4644d4dc8bc5f335fcca_3418","8291d5e9ef160a270636991509e0e85c_3143","b1b2c14e5b2eae9d99465ee4aa5d53b7_3125","f95cc3601e9bedf7c0d3dbaf7722b312_3327","81c24e080905d6ecc25e00770222c603_3164","a963e031a0e9d0bd7ea9f5c201bde08a_3197","cf4339b1a0ea8d217cfa00a17e46d961_3543","6f47304ac79aadc337208f6d61504bf4_3076","65f1bac1425e1f84709282b5f5eed1ce_3381"
"WP_001127216.1","","MFS transporter","10","10","1","1","242","","","","1373","1373","1373","de5d112513ebace038d16be8aa9e1273_5286","2000d99c1a4f4644d4dc8bc5f335fcca_4247","8291d5e9ef160a270636991509e0e85c_3703","b1b2c14e5b2eae9d99465ee4aa5d53b7_3871","f95cc3601e9bedf7c0d3dbaf7722b312_3969","81c24e080905d6ecc25e00770222c603_3843","a963e031a0e9d0bd7ea9f5c201bde08a_4030","cf4339b1a0ea8d217cfa00a17e46d961_4337","6f47304ac79aadc337208f6d61504bf4_3792","65f1bac1425e1f84709282b5f5eed1ce_5670"
"ompR","","two-component system response regulator OmpR","10","10","1","1","1387","","","","719","719","719","de5d112513ebace038d16be8aa9e1273_1746","2000d99c1a4f4644d4dc8bc5f335fcca_761","8291d5e9ef160a270636991509e0e85c_672","b1b2c14e5b2eae9d99465ee4aa5d53b7_617","f95cc3601e9bedf7c0d3dbaf7722b312_675","81c24e080905d6ecc25e00770222c603_628","a963e031a0e9d0bd7ea9f5c201bde08a_628","cf4339b1a0ea8d217cfa00a17e46d961_676","6f47304ac79aadc337208f6d61504bf4_650","65f1bac1425e1f84709282b5f5eed1ce_694"
"amiC","","N-acetylmuramoyl-L-alanine amidase AmiC","10","10","1","1","147","","","","1253","1253","1253","de5d112513ebace038d16be8aa9e1273_3184","2000d99c1a4f4644d4dc8bc5f335fcca_2087","8291d5e9ef160a270636991509e0e85c_1918","b1b2c14e5b2eae9d99465ee4aa5d53b7_1863","f95cc3601e9bedf7c0d3dbaf7722b312_1961","81c24e080905d6ecc25e00770222c603_1822","a963e031a0e9d0bd7ea9f5c201bde08a_1862","cf4339b1a0ea8d217cfa00a17e46d961_2095","6f47304ac79aadc337208f6d61504bf4_1782","65f1bac1425e1f84709282b5f5eed1ce_1968"
"acrD","","multidrug efflux RND transporter permease AcrD","10","10","1","1","2976","","","","3113","3113","3113","de5d112513ebace038d16be8aa9e1273_3855","2000d99c1a4f4644d4dc8bc5f335fcca_2767","8291d5e9ef160a270636991509e0e85c_2576","b1b2c14e5b2eae9d99465ee4aa5d53b7_2530","f95cc3601e9bedf7c0d3dbaf7722b312_2720","81c24e080905d6ecc25e00770222c603_2533","a963e031a0e9d0bd7ea9f5c201bde08a_2631","cf4339b1a0ea8d217cfa00a17e46d961_2973","6f47304ac79aadc337208f6d61504bf4_2485","65f1bac1425e1f84709282b5f5eed1ce_2710"
"bcp","","thioredoxin-dependent thiol peroxidase","10","10","1","1","2988","","","","470","470","470","de5d112513ebace038d16be8aa9e1273_3831","2000d99c1a4f4644d4dc8bc5f335fcca_2739","8291d5e9ef160a270636991509e0e85c_2552","b1b2c14e5b2eae9d99465ee4aa5d53b7_2506","f95cc3601e9bedf7c0d3dbaf7722b312_2696","81c24e080905d6ecc25e00770222c603_2509","a963e031a0e9d0bd7ea9f5c201bde08a_2607","cf4339b1a0ea8d217cfa00a17e46d961_2949","6f47304ac79aadc337208f6d61504bf4_2461","65f1bac1425e1f84709282b5f5eed1ce_2682"
"purB","","adenylosuccinate lyase","10","10","1","1","7107","","","","1370","1370","1370","de5d112513ebace038d16be8aa9e1273_6810","2000d99c1a4f4644d4dc8bc5f335fcca_5769","8291d5e9ef160a270636991509e0e85c_5106","b1b2c14e5b2eae9d99465ee4aa5d53b7_5223","f95cc3601e9bedf7c0d3dbaf7722b312_5398","81c24e080905d6ecc25e00770222c603_5335","a963e031a0e9d0bd7ea9f5c201bde08a_5357","cf4339b1a0ea8d217cfa00a17e46d961_5939","6f47304ac79aadc337208f6d61504bf4_5201","65f1bac1425e1f84709282b5f5eed1ce_4224"
"WP_000719886.1","","sel1 repeat family protein","10","10","1","1","3982","","","","689","689","689","de5d112513ebace038d16be8aa9e1273_161","2000d99c1a4f4644d4dc8bc5f335fcca_9264","8291d5e9ef160a270636991509e0e85c_8172","b1b2c14e5b2eae9d99465ee4aa5d53b7_8245","f95cc3601e9bedf7c0d3dbaf7722b312_8410","81c24e080905d6ecc25e00770222c603_8593","a963e031a0e9d0bd7ea9f5c201bde08a_8534","cf4339b1a0ea8d217cfa00a17e46d961_9157","6f47304ac79aadc337208f6d61504bf4_8372","65f1bac1425e1f84709282b5f5eed1ce_9108"
"rhtA","","threonine/homoserine exporter RhtA","10","10","1","1","6470","","","","887","887","887","de5d112513ebace038d16be8aa9e1273_7672","2000d99c1a4f4644d4dc8bc5f335fcca_6705","8291d5e9ef160a270636991509e0e85c_5820","b1b2c14e5b2eae9d99465ee4aa5d53b7_5956","f95cc3601e9bedf7c0d3dbaf7722b312_6044","81c24e080905d6ecc25e00770222c603_5981","a963e031a0e9d0bd7ea9f5c201bde08a_6142","cf4339b1a0ea8d217cfa00a17e46d961_6743","6f47304ac79aadc337208f6d61504bf4_5919","65f1bac1425e1f84709282b5f5eed1ce_6593"
"rapA","","RNA polymerase-associated protein RapA","10","10","1","1","7851","","","","2906","2906","2906","de5d112513ebace038d16be8aa9e1273_9257","2000d99c1a4f4644d4dc8bc5f335fcca_8351","8291d5e9ef160a270636991509e0e85c_7358","b1b2c14e5b2eae9d99465ee4aa5d53b7_7450","f95cc3601e9bedf7c0d3dbaf7722b312_7678","81c24e080905d6ecc25e00770222c603_7799","a963e031a0e9d0bd7ea9f5c201bde08a_7765","cf4339b1a0ea8d217cfa00a17e46d961_8300","6f47304ac79aadc337208f6d61504bf4_7545","65f1bac1425e1f84709282b5f5eed1ce_8206"
"rsuA","","16S rRNA pseudouridine(516) synthase RsuA","10","10","1","1","2648","","","","695","695","695","de5d112513ebace038d16be8aa9e1273_4383","2000d99c1a4f4644d4dc8bc5f335fcca_3368","8291d5e9ef160a270636991509e0e85c_3093","b1b2c14e5b2eae9d99465ee4aa5d53b7_3075","f95cc3601e9bedf7c0d3dbaf7722b312_3277","81c24e080905d6ecc25e00770222c603_3114","a963e031a0e9d0bd7ea9f5c201bde08a_3147","cf4339b1a0ea8d217cfa00a17e46d961_3495","6f47304ac79aadc337208f6d61504bf4_3026","65f1bac1425e1f84709282b5f5eed1ce_3331"
"argP","","DNA-binding transcriptional regulator ArgP","10","10","1","1","361","","","","893","893","893","de5d112513ebace038d16be8aa9e1273_3011","2000d99c1a4f4644d4dc8bc5f335fcca_1849","8291d5e9ef160a270636991509e0e85c_1739","b1b2c14e5b2eae9d99465ee4aa5d53b7_1634","f95cc3601e9bedf7c0d3dbaf7722b312_1692","81c24e080905d6ecc25e00770222c603_1618","a963e031a0e9d0bd7ea9f5c201bde08a_1637","cf4339b1a0ea8d217cfa00a17e46d961_1926","6f47304ac79aadc337208f6d61504bf4_1559","65f1bac1425e1f84709282b5f5eed1ce_1727"
"proP","","glycine betaine/L-proline transporter ProP","10","10","1","1","4021","","","","1502","1502","1502","de5d112513ebace038d16be8aa9e1273_85","2000d99c1a4f4644d4dc8bc5f335fcca_9193","8291d5e9ef160a270636991509e0e85c_8106","b1b2c14e5b2eae9d99465ee4aa5d53b7_8179","f95cc3601e9bedf7c0d3dbaf7722b312_8344","81c24e080905d6ecc25e00770222c603_8527","a963e031a0e9d0bd7ea9f5c201bde08a_8468","cf4339b1a0ea8d217cfa00a17e46d961_9081","6f47304ac79aadc337208f6d61504bf4_8306","65f1bac1425e1f84709282b5f5eed1ce_9052"
"ydeP","","acid resistance putative oxidoreductase YdeP","10","10","1","1","5799","","","","2279","2279","2279","de5d112513ebace038d16be8aa9e1273_6029","2000d99c1a4f4644d4dc8bc5f335fcca_4969","8291d5e9ef160a270636991509e0e85c_4409","b1b2c14e5b2eae9d99465ee4aa5d53b7_4550","f95cc3601e9bedf7c0d3dbaf7722b312_4650","81c24e080905d6ecc25e00770222c603_4533","a963e031a0e9d0bd7ea9f5c201bde08a_4736","cf4339b1a0ea8d217cfa00a17e46d961_5155","6f47304ac79aadc337208f6d61504bf4_4478","65f1bac1425e1f84709282b5f5eed1ce_4909"
"nagB","","glucosamine-6-phosphate deaminase","10","10","1","1","6004","","","","800","800","800","de5d112513ebace038d16be8aa9e1273_7961","2000d99c1a4f4644d4dc8bc5f335fcca_6993","8291d5e9ef160a270636991509e0e85c_6148","b1b2c14e5b2eae9d99465ee4aa5d53b7_6245","f95cc3601e9bedf7c0d3dbaf7722b312_6356","81c24e080905d6ecc25e00770222c603_6272","a963e031a0e9d0bd7ea9f5c201bde08a_6570","cf4339b1a0ea8d217cfa00a17e46d961_7019","6f47304ac79aadc337208f6d61504bf4_6278","65f1bac1425e1f84709282b5f5eed1ce_6882"
"ilvA","","threonine ammonia-lyase, biosynthetic","10","10","1","1","3628","","","","1544","1544","1544","de5d112513ebace038d16be8aa9e1273_910","2000d99c1a4f4644d4dc8bc5f335fcca_9950","8291d5e9ef160a270636991509e0e85c_8845","b1b2c14e5b2eae9d99465ee4aa5d53b7_8874","f95cc3601e9bedf7c0d3dbaf7722b312_9039","81c24e080905d6ecc25e00770222c603_9226","a963e031a0e9d0bd7ea9f5c201bde08a_9177","cf4339b1a0ea8d217cfa00a17e46d961_9890","6f47304ac79aadc337208f6d61504bf4_9005","65f1bac1425e1f84709282b5f5eed1ce_9781"
"WP_001084037.1","","DUF1481 domain-containing protein","10","10","1","1","3873","","","","695","695","695","de5d112513ebace038d16be8aa9e1273_373","2000d99c1a4f4644d4dc8bc5f335fcca_9445","8291d5e9ef160a270636991509e0e85c_8334","b1b2c14e5b2eae9d99465ee4aa5d53b7_8407","f95cc3601e9bedf7c0d3dbaf7722b312_8572","81c24e080905d6ecc25e00770222c603_8757","a963e031a0e9d0bd7ea9f5c201bde08a_8700","cf4339b1a0ea8d217cfa00a17e46d961_9363","6f47304ac79aadc337208f6d61504bf4_8536","65f1bac1425e1f84709282b5f5eed1ce_9280"
"tsaE","","tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase TsaE","10","10","1","1","4077","","","","461","461","461","de5d112513ebace038d16be8aa9e1273_9928","2000d99c1a4f4644d4dc8bc5f335fcca_9069","8291d5e9ef160a270636991509e0e85c_7982","b1b2c14e5b2eae9d99465ee4aa5d53b7_8048","f95cc3601e9bedf7c0d3dbaf7722b312_8216","81c24e080905d6ecc25e00770222c603_8399","a963e031a0e9d0bd7ea9f5c201bde08a_8340","cf4339b1a0ea8d217cfa00a17e46d961_8851","6f47304ac79aadc337208f6d61504bf4_8178","65f1bac1425e1f84709282b5f5eed1ce_8924"
"lpoB","","penicillin-binding protein activator LpoB","10","10","1","1","5684","","","","641","641","641","de5d112513ebace038d16be8aa9e1273_6862","2000d99c1a4f4644d4dc8bc5f335fcca_5817","8291d5e9ef160a270636991509e0e85c_5162","b1b2c14e5b2eae9d99465ee4aa5d53b7_5275","f95cc3601e9bedf7c0d3dbaf7722b312_5450","81c24e080905d6ecc25e00770222c603_5387","a963e031a0e9d0bd7ea9f5c201bde08a_5405","cf4339b1a0ea8d217cfa00a17e46d961_5991","6f47304ac79aadc337208f6d61504bf4_5255","65f1bac1425e1f84709282b5f5eed1ce_4025"
"WP_001256201.1","","SmdB family multidrug efflux ABC transporter permease/ATP-binding protein","10","10","1","1","5566","","","","1781","1781","1781","de5d112513ebace038d16be8aa9e1273_8340","2000d99c1a4f4644d4dc8bc5f335fcca_7540","8291d5e9ef160a270636991509e0e85c_6643","b1b2c14e5b2eae9d99465ee4aa5d53b7_6645","f95cc3601e9bedf7c0d3dbaf7722b312_6786","81c24e080905d6ecc25e00770222c603_6741","a963e031a0e9d0bd7ea9f5c201bde08a_6962","cf4339b1a0ea8d217cfa00a17e46d961_7393","6f47304ac79aadc337208f6d61504bf4_6678","65f1bac1425e1f84709282b5f5eed1ce_7417"
"cysD","","sulfate adenylyltransferase subunit CysD","10","10","1","1","3313","","","","908","908","908","de5d112513ebace038d16be8aa9e1273_3353","2000d99c1a4f4644d4dc8bc5f335fcca_2228","8291d5e9ef160a270636991509e0e85c_2053","b1b2c14e5b2eae9d99465ee4aa5d53b7_1986","f95cc3601e9bedf7c0d3dbaf7722b312_2084","81c24e080905d6ecc25e00770222c603_1957","a963e031a0e9d0bd7ea9f5c201bde08a_2009","cf4339b1a0ea8d217cfa00a17e46d961_2262","6f47304ac79aadc337208f6d61504bf4_1923","65f1bac1425e1f84709282b5f5eed1ce_2152"
"flgB","","flagellar basal body rod protein FlgB","10","10","1","1","7584","","","","416","416","416","de5d112513ebace038d16be8aa9e1273_6926","2000d99c1a4f4644d4dc8bc5f335fcca_5877","8291d5e9ef160a270636991509e0e85c_5222","b1b2c14e5b2eae9d99465ee4aa5d53b7_5337","f95cc3601e9bedf7c0d3dbaf7722b312_5512","81c24e080905d6ecc25e00770222c603_5447","a963e031a0e9d0bd7ea9f5c201bde08a_5465","cf4339b1a0ea8d217cfa00a17e46d961_6051","6f47304ac79aadc337208f6d61504bf4_5315","65f1bac1425e1f84709282b5f5eed1ce_3961"
"bcr","","multidrug efflux MFS transporter Bcr","10","10","1","1","2647","","","","1190","1190","1190","de5d112513ebace038d16be8aa9e1273_4385","2000d99c1a4f4644d4dc8bc5f335fcca_3370","8291d5e9ef160a270636991509e0e85c_3095","b1b2c14e5b2eae9d99465ee4aa5d53b7_3077","f95cc3601e9bedf7c0d3dbaf7722b312_3279","81c24e080905d6ecc25e00770222c603_3116","a963e031a0e9d0bd7ea9f5c201bde08a_3149","cf4339b1a0ea8d217cfa00a17e46d961_3497","6f47304ac79aadc337208f6d61504bf4_3028","65f1bac1425e1f84709282b5f5eed1ce_3333"
"nrdB","","ribonucleotide-diphosphate reductase subunit beta","10","10","1","1","2699","","","","1130","1130","1130","de5d112513ebace038d16be8aa9e1273_4280","2000d99c1a4f4644d4dc8bc5f335fcca_3241","8291d5e9ef160a270636991509e0e85c_2996","b1b2c14e5b2eae9d99465ee4aa5d53b7_2974","f95cc3601e9bedf7c0d3dbaf7722b312_3178","81c24e080905d6ecc25e00770222c603_3011","a963e031a0e9d0bd7ea9f5c201bde08a_3048","cf4339b1a0ea8d217cfa00a17e46d961_3394","6f47304ac79aadc337208f6d61504bf4_2925","65f1bac1425e1f84709282b5f5eed1ce_3242"
"mltA","","murein transglycosylase A","10","10","1","1","133","","","","1097","1097","1097","de5d112513ebace038d16be8aa9e1273_3243","2000d99c1a4f4644d4dc8bc5f335fcca_2098","8291d5e9ef160a270636991509e0e85c_1929","b1b2c14e5b2eae9d99465ee4aa5d53b7_1874","f95cc3601e9bedf7c0d3dbaf7722b312_1972","81c24e080905d6ecc25e00770222c603_1833","a963e031a0e9d0bd7ea9f5c201bde08a_1873","cf4339b1a0ea8d217cfa00a17e46d961_2154","6f47304ac79aadc337208f6d61504bf4_1793","65f1bac1425e1f84709282b5f5eed1ce_2038"
"sapB","","peptide ABC transporter permease SapB","10","10","1","1","6722","","","","965","965","965","de5d112513ebace038d16be8aa9e1273_6471","2000d99c1a4f4644d4dc8bc5f335fcca_5418","8291d5e9ef160a270636991509e0e85c_4795","b1b2c14e5b2eae9d99465ee4aa5d53b7_4906","f95cc3601e9bedf7c0d3dbaf7722b312_4982","81c24e080905d6ecc25e00770222c603_4960","a963e031a0e9d0bd7ea9f5c201bde08a_5040","cf4339b1a0ea8d217cfa00a17e46d961_5453","6f47304ac79aadc337208f6d61504bf4_4884","65f1bac1425e1f84709282b5f5eed1ce_4537"
"pyrD","","quinone-dependent dihydroorotate dehydrogenase","10","10","1","1","6197","","","","1010","1010","1010","de5d112513ebace038d16be8aa9e1273_7160","2000d99c1a4f4644d4dc8bc5f335fcca_6254","8291d5e9ef160a270636991509e0e85c_5476","b1b2c14e5b2eae9d99465ee4aa5d53b7_5601","f95cc3601e9bedf7c0d3dbaf7722b312_5776","81c24e080905d6ecc25e00770222c603_5714","a963e031a0e9d0bd7ea9f5c201bde08a_5690","cf4339b1a0ea8d217cfa00a17e46d961_6498","6f47304ac79aadc337208f6d61504bf4_5574","65f1bac1425e1f84709282b5f5eed1ce_3692"
"fabI","","enoyl-ACP reductase FabI","10","10","1","1","6717","","","","788","788","788","de5d112513ebace038d16be8aa9e1273_6489","2000d99c1a4f4644d4dc8bc5f335fcca_5436","8291d5e9ef160a270636991509e0e85c_4805","b1b2c14e5b2eae9d99465ee4aa5d53b7_4916","f95cc3601e9bedf7c0d3dbaf7722b312_4992","81c24e080905d6ecc25e00770222c603_4970","a963e031a0e9d0bd7ea9f5c201bde08a_5050","cf4339b1a0ea8d217cfa00a17e46d961_5471","6f47304ac79aadc337208f6d61504bf4_4894","65f1bac1425e1f84709282b5f5eed1ce_4527"
"nuoF","","NADH-quinone oxidoreductase subunit NuoF","10","10","1","1","2755","","","","1337","1337","1337","de5d112513ebace038d16be8aa9e1273_4190","2000d99c1a4f4644d4dc8bc5f335fcca_3143","8291d5e9ef160a270636991509e0e85c_2901","b1b2c14e5b2eae9d99465ee4aa5d53b7_2866","f95cc3601e9bedf7c0d3dbaf7722b312_3084","81c24e080905d6ecc25e00770222c603_2907","a963e031a0e9d0bd7ea9f5c201bde08a_2956","cf4339b1a0ea8d217cfa00a17e46d961_3304","6f47304ac79aadc337208f6d61504bf4_2823","65f1bac1425e1f84709282b5f5eed1ce_3154"
"hflD","","high frequency lysogenization protein HflD","10","10","1","1","7108","","","","641","641","641","de5d112513ebace038d16be8aa9e1273_6808","2000d99c1a4f4644d4dc8bc5f335fcca_5767","8291d5e9ef160a270636991509e0e85c_5104","b1b2c14e5b2eae9d99465ee4aa5d53b7_5221","f95cc3601e9bedf7c0d3dbaf7722b312_5396","81c24e080905d6ecc25e00770222c603_5333","a963e031a0e9d0bd7ea9f5c201bde08a_5355","cf4339b1a0ea8d217cfa00a17e46d961_5937","6f47304ac79aadc337208f6d61504bf4_5199","65f1bac1425e1f84709282b5f5eed1ce_4226"
"rdgC","","recombination-associated protein RdgC","10","10","1","1","5508","","","","911","911","911","de5d112513ebace038d16be8aa9e1273_8450","2000d99c1a4f4644d4dc8bc5f335fcca_7654","8291d5e9ef160a270636991509e0e85c_6759","b1b2c14e5b2eae9d99465ee4aa5d53b7_6755","f95cc3601e9bedf7c0d3dbaf7722b312_6902","81c24e080905d6ecc25e00770222c603_6851","a963e031a0e9d0bd7ea9f5c201bde08a_7072","cf4339b1a0ea8d217cfa00a17e46d961_7503","6f47304ac79aadc337208f6d61504bf4_6788","65f1bac1425e1f84709282b5f5eed1ce_7535"
"glyA","","serine hydroxymethyltransferase","10","10","1","1","3133","","","","1253","1253","1253","de5d112513ebace038d16be8aa9e1273_3715","2000d99c1a4f4644d4dc8bc5f335fcca_2583","8291d5e9ef160a270636991509e0e85c_2406","b1b2c14e5b2eae9d99465ee4aa5d53b7_2362","f95cc3601e9bedf7c0d3dbaf7722b312_2519","81c24e080905d6ecc25e00770222c603_2365","a963e031a0e9d0bd7ea9f5c201bde08a_2354","cf4339b1a0ea8d217cfa00a17e46d961_2835","6f47304ac79aadc337208f6d61504bf4_2317","65f1bac1425e1f84709282b5f5eed1ce_2530"
"pfkA","","6-phosphofructokinase","10","10","1","1","3789","","","","962","962","962","de5d112513ebace038d16be8aa9e1273_569","2000d99c1a4f4644d4dc8bc5f335fcca_9633","8291d5e9ef160a270636991509e0e85c_8514","b1b2c14e5b2eae9d99465ee4aa5d53b7_8585","f95cc3601e9bedf7c0d3dbaf7722b312_8750","81c24e080905d6ecc25e00770222c603_8935","a963e031a0e9d0bd7ea9f5c201bde08a_8878","cf4339b1a0ea8d217cfa00a17e46d961_9557","6f47304ac79aadc337208f6d61504bf4_8714","65f1bac1425e1f84709282b5f5eed1ce_9466"
